Year,Federal Subsidized Loans,Federal Unsubsidized Loans,Parent PLUS Loans,Grad PLUS Loans,Perkins Loans,Nonfederal Loans
2019/20,18%,45%,12%,11%,1%,14%
2018/19,19%,46%,12%,10%,1%,12%
2017/18,20%,46%,12%,10%,1%,11%
2016/17,20%,47%,12%,9%,1%,11%
2015/16,22%,48%,11%,8%,1%,10%
2014/15,23%,49%,10%,8%,1%,9%
2013/14,24%,50%,9%,7%,1%,9%
2012/13,25%,50%,9%,7%,1%,8%
2011/12,35%,41%,10%,6%,1%,7%
2010/11,36%,41%,9%,6%,1%,7%
2009/10,35%,43%,8%,5%,1%,8%
2008/09,34%,41%,8%,4%,1%,12%
2007/08,32%,30%,8%,3%,2%,25%
2006/07,31%,30%,10%,3%,2%,25%
2005/06,33%,32%,11%,0%,2%,23%
2004/05,35%,32%,11%,0%,2%,20%
2003/04,37%,32%,10%,0%,3%,18%
2002/03,38%,33%,10%,0%,3%,16%
2001/02,40%,34%,9%,0%,3%,14%
2000/01,42%,33%,9%,0%,3%,13%
1999/00,43%,33%,9%,0%,3%,12%
