Month,Confirmed (incl. deaths),Deaths
Nov 20,30017,501
Nov 19,29654,498
Nov 18,29311,496
Nov 17,28998,494
Nov 16,28768,494
Nov 15,28546,493
Nov 14,28338,492
Nov 13,28133,488
Nov 12,27942,487
Nov 11,27799,487
Nov 10,27653,485
Nov 9,27553,480
Nov 8,27427,478
Nov 7,27284,477
Nov 6,27195,476
Nov 5,27050,475
Nov 4,26925,474
Nov 3,26807,472
Nov 2,26732,468
Nov 1,26635,466
Oct 31,26511,464
Oct 30,26384,463
Oct 29,26271,462
Oct 28,26146,461
Oct 27,26043,460
Oct 26,25955,457
Oct 25,25836,457
Oct 24,25775,457
Oct 23,25698,455
Oct 22,25543,453
Oct 21,25422,450
Oct 20,25333,447
Oct 19,25275,444
Oct 18,25199,444
Oct 17,25108,443
Oct 16,25035,441
Oct 15,24988,439
Oct 14,24878,438
Oct 13,24805,434
Oct 12,24703,433
Oct 11,24606,432
Oct 10,24548,430
Oct 9,24473,428
Oct 8,24422,427
Oct 7,24353,425
Oct 6,24239,422
Oct 5,24164,422
Oct 4,24091,421
Oct 3,24027,420
Oct 2,23952,416
Oct 1,23889,415
Sep 30,23812,413
Sep 29,23699,407
Sep 28,23661,406
Sep 27,23611,401
Sep 26,23516,399
Sep 25,23455,395
Sep 24,23341,393
Sep 23,23216,388
Sep 22,23106,388
Sep 21,23045,385
Sep 20,22975,383
Sep 19,22893,378
Sep 18,22783,377
Sep 17,22657,372
Sep 16,22504,367
Sep 15,22391,367
Sep 14,22285,363
Sep 13,22176,358
Sep 12,22055,355
Sep 11,21919,350
Sep 10,21743,346
Sep 9,21588,344
Sep 8,21432,341
Sep 7,21296,336
Sep 6,21177,334
Sep 5,21010,333
Sep 4,20842,331
Sep 3,20644,329
Sep 2,20449,326
Sep 1,20182,324
Aug 31,19947,324
Aug 30,19699,323
Aug 29,19400,321
Aug 28,19077,316
Aug 27,18706,313
Aug 26,18265,312
Aug 25,17945,310
Aug 24,17665,309
Aug 23,17399,309
Aug 22,17002,309
Aug 21,16670,309
Aug 20,16346,307
Aug 19,16058,306
Aug 18,15761,306
Aug 17,15515,305
Aug 16,15318,305
Aug 15,15039,305
Aug 14,14873,305
Aug 13,14770,305
Aug 12,14714,305
Aug 11,14660,305
Aug 10,14626,305
Aug 9,14598,305
Aug 8,14562,304
Aug 7,14519,303
Aug 6,14499,302
Aug 5,14456,302
Aug 4,14423,301
Aug 3,14389,301
Aug 2,14366,301
Aug 1,14336,301
July 31,14305,301
July 30,14269,300
July 29,14251,300
July 28,14203,300
July 27,14175,299
July 26,14150,298
July 25,14092,298
July 24,13979,298
July 23,13938,297
July 22,13879,297
July 21,13816,296
July 20,13771,296
July 19,13745,295
July 18,13711,294
July 17,13672,293
July 16,13612,291
July 15,13551,289
July 14,13512,289
July 13,13479,289
July 12,13417,289
July 11,13373,288
July 10,13338,288
July 9,13293,287
July 8,13243,285
July 7,13181,285
July 6,13137,284
July 5,13091,283
July 4,13030,283
July 3,12967,282
July 2,12904,282
July 1,12850,282
June  30,12799,282
June  29,12757,282
June  28,12715,282
June  27,12653,282
June  26,12602,282
June 25,12563,282
June  24,12535,281
June  23,12484,281
June  22,12438,280
June  21,12421,280
June  20,12373,280
June 19,12306,280
June 18,12257,280
June 17,12198,279
June 16,12155,278
June 15,12121,277
June 14,12084,277
June 13,12050,277
June 12,12003,277
June 11,11941,276
June 10,11902,276
June 9,11852,274
June 8,11814,273
June 7,11776,273
June 6,11719,273
June 5,11668,273
June 4,11629,273
June 3,11590,273
June 2,11541,272
June 1,11503,271
May 31,11468,270
May 30,11441,269
May 29,11402,269
May 28,11344,269
May 27,11265,269
May 26,11225,269
May 25,11206,267
May 24,11190,266
May 23,11165,266
May 22,11142,264
May 21,11122,264
May 20,11110,263
May 19,11078,263
May 18,11065,263
May 17,11050,262
May 16,11037,262
May 15,11018,260
May 14,10991,260
May 13,10962,259
May 12,10936,258
May 11,10909,256
May 10,10874,256
May 9,10840,256
May 8,10822,256
May 7,10822,256
May 6,10806,255
May 5,10804,254
May 4,10801,252
May 3,10793,250
May 2,10780,250
May 1,10774,248
Apr 30,10765,247
Apr 29,10761,246
Apr 28,10752,244
Apr 27,10738,243
Apr 26,10728,242
Apr 25,10718,240
Apr 24,10708,240
Apr 23,10702,240
Apr 22,10694,238
Apr 21,10683,237
Apr 20,10674,236
Apr 19,10661,234
Apr 18,10653,232
Apr 17,10635,230
Apr 16,10613,229
Apr 15,10591,225
Apr 14,10564,222
Apr 13,10537,217
Apr 12,10512,214
Apr 11,10480,211
Apr 10,10450,208
Apr 9,10423,204
Apr 8,10384,200
Apr 7,10331,192
Apr 6,10284,186
Apr 5,10237,183
Apr 4,10156,177
Apr 3,10062,174
Apr 2,9976,169
Apr 1,9887,165
Mar 31,9786,162
Mar 30,9661,158
Mar 29,9583,152
Mar 28,9478,144
Mar 27,9332,139
Mar 26,9241,131
Mar 25,9137,126
Mar 24,9037,120
Mar 23,8961,111
Mar 22,8897,104
Mar 21,8799,102
Mar 20,8652,94
Mar 19,8565,91
Mar 18,8413,84
Mar 17,8320,81
Mar 16,8236,75
Mar 15,8162,75
Mar 14,8086,72
Mar 13,7979,67
Mar 12,7869,66
Mar 11,7755,60
Mar 10,7513,54
Mar 9,7382,51
Mar 8,7134,50
Mar 7,6767,44
Mar 6,6284,42
Mar 5,5766,35
Mar 4,5328,32
Mar 3,4812,28
Mar 2,4212,22
Mar 1,3736,18
Feb 29,3150,17
Feb 28,2337,13
Feb 27,1766,13
Feb 26,1261,12
Feb 25,977,10
Feb 24,833,7
Feb 23,602,5
Feb 22,433,2
Feb 21,204,1
Feb 20,104,1
Feb 19,51,0
Feb 18,31,0
Feb 17,30,0
Feb 16,29,0
Feb 15,28,0
Feb 14,28,0
Feb 13,28,0
Feb 12,28,0
Feb 11,28,0
Feb 10,27,0
Feb 9,25,0
Feb 8,24,0
Feb 7,24,0
Feb 6,23,0
Feb 5,19,0
Feb 4,16,0
Feb 3,15,0
Feb 2,15,0
Feb 1,12,0
Jan 31,11,0
Jan 30,7,0
Jan 29,4,0
Jan 28,4,0
Jan 27,4,0
Jan 26,3,0
Jan 25,2,0
Jan 24,2,0
Jan 23,1,0
Jan 22,1,0
Jan 21,1,0
Jan 20,1,0
