Year,Flanders,Wallonia,Brussels-Capital Region
2019,42887,11766,1306
2018,49490,11680,1485
2017,37385,11184,1819
2016,39541,10320,1116
2015,33272,11326,1583
2014,40147,12137,2619
2013,35495,11202,2444
2012,33847,11634,1332
2011,30264,11928,2168
2010,34940,12944,2661
2009,30377,12884,2606
2008,35471,14820,2815
2007,36510,15030,2556
2006,42413,15088,3657
2005,42007,14364,3013
2004,37225,12161,2844
2003,31566,10788,2742
2002,30006,10043,2107
2001,28284,10924,2069
2000,29099,11499,2315
1999,29705,13426,2589
1998,25658,10717,1518
1997,33028,15006,1893
1996,34072,13077,1375
