Response,Do not buy this category,Online via social media platform,Online via mobile or smartphone,Online via tablet,Online via PC,In-store
Clothing and footwear,2%,0%,2%,4%,29%,63%
Consumer electronics and computers,4%,0%,1%,4%,45%,45%
"Books, music, movies, video games",5%,0%,3%,6%,61%,24%
Grocery,5%,0%,2%,3%,21%,69%
Household appliances,6%,1%,1%,4%,39%,49%
Furniture and homeware,7%,0%,1%,3%,26%,63%
Home improvement,13%,0%,2%,3%,22%,60%
Health and beauty,15%,0%,3%,4%,22%,57%
Jewellery,21%,0%,2%,3%,21%,53%
Sports equipment,27%,0%,2%,4%,25%,42%
Toys,32%,0%,2%,4%,27%,35%
