Quarter,WLR,LLU,Ethernet,Fibre broadband,Other
Q1 2020,412£,264£,219£,298£,60£
Q4 2019,414£,273£,212£,284£,85£
Q3 2019,416£,281£,204£,268£,81£
Q2 2019,421£,283£,200£,262£,81£
Q1 2019,435£,284£,192£,254£,84£
Q4 2018,442£,292£,179£,248£,92£
Q3 1018,449£,290£,184£,237£,79£
Q2 2018,455£,287£,183£,271£,85£
Q1 2018,445£,276£,179£,251£,95£
Q4 2017,452£,279£,200£,270£,110£
Q3 2017,456£,283£,187£,337£,109£
Q2 2017,462£,284£,194£,237£,116£
Q1 2017,469£,281£,188£,227£,117£
Q4 2016,461£,282£,198£,258£,90£
Q3 2016,467£,290£,192£,235£,100£
Q2 2016,468£,285£,194£,224£,102£
Q1 2016,461£,289£,199£,197£,106£
Q4 2015,474£,299£,228£,185£,104£
Q3 2015,478£,309£,225£,180£,102£
Q2 2015,480£,297£,227£,164£,99£
Q1 2015,483£,298£,220£,148£,100£
Q4 2014,493£,292£,227£,140£,114£
Q3 2014,497£,298£,224£,124£,112£
Q2 2014,497£,294£,218£,119£,117£
Q1 2014,509£,296£,222£,104£,114£
Q4 2013,524£,300£,229£,98£,120£
Q3 2013,532£,304£,225£,91£,122£
Q2 2013,540£,298£,224£,86£,123£
Q1 2013,548£,286£,219£,71£,121£
Q4 2012,582£,292£,222£,60£,120£
Q3 2012,592£,297£,214£,53£,130£
Q2 2012,595£,295£,217£,40£,136£
Q1 2012,611£,289£,208£,33£,129£
Q4 2011,642£,311£,203£,28£,127£
Q3 2011,648£,313£,194£,18£,140£
Q2 2011,656£,306£,182£,13£,137£
Q1 2011,661£,290£,171£,9£,138£
