Year,A*,A,B,C,D,E
2020,14.3%,23.8%,27.3%,22.1%,9.3%,2.9%
2019,7.8%,17.7%,25.9%,24.2%,15.2%,6.6%
2018,8.2%,18.4%,26.5%,24%,14.6%,6.1%
2017,8.6%,18.3%,26.7%,24.2%,14.5%,5.9%
2016,8.4%,18.1%,27.1%,24.7%,14.6%,5.9%
2015,8.6%,18%,26.8%,24.5%,14.7%,6.1%
2014,8.6%,18.1%,26.3%,24.2%,14.9%,6.5%
2013,7.9%,18.9%,26.5%,24.3%,14.9%,6.2%
2012,8.2%,18.8%,25.9%,24%,15.1%,6.5%
2011,8.4%,18.8%,25.6%,23.8%,15.2%,6.7%
2010,8%,18.9%,25.2%,23.5%,15.5%,7.1%
2009,0%,26.8%,25.1%,23.2%,15.5%,7.4%
2008,0%,25.9%,24.7%,23.3%,16%,7.9%
2007,0%,25.3%,24.2%,23.1%,16.4%,8.4%
2006,0%,24%,23.8%,23.4%,17%,9%
2005,0%,22.7%,23.6%,23.5%,17.6%,9.5%
2004,0%,22.3%,23.2%,23.4%,17.9%,9.8%
2003,0%,21.5%,22.7%,23.2%,18.3%,10.4%
2002,0%,20.5%,21.8%,22.8%,18.5%,11.1%
2001,0%,18.7%,19.3%,21.6%,18.2%,12.2%
