Year,Elementary education,Secondary education,Tertiary education,Adult education,Part-time arts education
2019,4234309,4452746,1975264,243084,250765
2018,4080732,4322786,1885147,448028,437865
2017,3966934,4251155,1882633,442951,445805
2016,3875231,4182696,1753481,426079,238932
2015,3737469,4145581,1707300,393344,232296
2014,3711241,4209500,1746645,388591,232842
2013,3641127,4138240,1683089,374996,228895
2012,3467787,4097863,1644017,370347,224098
2011,3315165,4016863,1669649,355293,216767
2010,3195164,3929442,1652037,333285,204754
