Country,Total cases,Total deaths,New daily cases: reported on December 8,Daily cases: reported on December 7,New daily cases: 7-day average
World,67367043,7189469,476391,521337,571792
United States of America,14954332,2147980,197334,173432,196376
India,9703770,493539,26567,32981,34010
Brazil,6623911,563285,20371,26363,38646
Russia,2488912,289829,0,28142,24157
France,2295908,155995,3411,11022,9678
Italy,1742557,265175,13679,18887,19672
United Kingdom,1737960,210321,14718,17271,15079
Spain,1702328,120930,-,17681,7734
Germany,1197709,189154,14055,12332,17980
Mexico,1182249,213800,6399,7455,9397
Indonesia,581550,76776,5754,6089,5911
Netherlands,563608,65050,7055,6769,5667
Turkey,545711,79648,6420,6093,6420
Canada,423054,76961,7872,6261,6597
Saudi Arabia,358922,8209,209,187,224
Switzerland,352875,40926,9774,0,4482
Japan,163929,24270,1862,1969,2146
China,91930,2088,12,15,15
South Korea,38755,5916,594,615,569
Australia,27972,1006,7,9,10
