Response,Average guess,Actual rates
Hong Kong,14%,50%
South Korea,14%,44.1%
Japan,25%,42.4%
New Zealand,26%,37.3%
Singapore,18%,34.1%
Sweden,26%,32.8%
Norway,19%,29.3%
Australia,26%,28.9%
Netherlands,16%,24.3%
Canada,26%,21.2%
Belgium,21%,20%
Great Britain,21%,18.5%
France,27%,17.7%
Germany,18%,16.8%
Spain,17%,16.3%
Chile,22%,14.9%
Poland,13%,13.1%
USA,23%,12.9%
Argentina,18%,12.7%
Denmark,16%,12.1%
Russia,16%,11.8%
Israel,15%,10.8%
Turkey,20%,9.6%
Italy,20%,9.5%
Hungary,12%,9%
Mexico,25%,7.3%
Colombia,23%,7.2%
Montenegro,11%,6.3%
Peru,23%,6.2%
Brazil,29%,4.3%
Serbia,11%,4.1%
Philippines,20%,3.5%
South Africa,26%,0.6%
