Year,Men,Women
Rio 2016,2.38,1.97
London 2012*,-,2.05
Beijing 2008,2.36,2.05
Athens 2004,2.36,2.06
Sydney 2000,2.35,2.01
Atlanta 1996,2.39,2.05
Barcelona 1992,2.34,2.02
Seoul 1988,2.38,2.03
Los Angeles 1984,2.35,2.02
Moscow 1980,2.36,1.97
Montreal 1976,2.25,1.93
Munich 1972,2.23,1.92
Mexico City 1968,2.24,1.82
Tokyo 1964,2.18,1.9
Rome 1960,2.16,1.85
Melbourne 1956,2.12,1.76
Helsinki 1952,2.04,1.67
London 1948,1.98,1.68
Berlin 1936,2.03,1.6
Los Angeles 1932,1.97,1.65
Amsterdam 1928,1.94,1.6
Paris 1924,1.98,-
Antwerp 2020,1.8,-
Stockholm 1912,1.93,-
London 1908,1.9,-
St. Louis 1904,1.8,-
Paris 1900,1.9,-
Athens 1896,1.81,-
