Global underserved* international airline routes,Non-stop bookings,One-stop bookings
Jakarta (CGK) - Jeddah (JED),543916,279733
New York (JFK) - Tel Aviv,432354,238995
Bangkok (BKK) - Paris De Gaulle (CDG),153592,238955
Bangkok (BKK) - London Heathrow (LHR),357700,230542
Los Angeles ((LAX) - Ho Chi Minh City (SGN)**,0,203359
Dubai (DXB) - Manila (MNL),430998,192504
Los Angeles (LAX) - Manila (MNL),179170,188229
Bangkok (BKK) - Beijing (PEK),582104,186153
Jeddah (JED) - Manila (MNL),76718,180670
Jeddah (JED) - Karachi (KHI),389310,179224
