Month and year,Imports,Exports
May20,1289.98,880.2
Apr20,1264.44,963.32
Mar20,1478.78,1440.62
Feb20,1463.92,1387.86
Jan20,1743.64,1090.19
Dec19,1593.73,1323.3
Nov19,1440.59,1161.6
Oct19,1734.79,1244.64
Sep19,1612.67,1291.48
Aug19,1804.71,1317.62
Jul19,1940.02,1268.14
Jun19,1611.02,1337.22
May19,1874.8,1365.25
Apr19,1769.94,1372.14
Mar19,1913.22,1503.25
Feb19,1552.03,1339.33
Jan19,1711.87,1313.08
Dec18,1721.28,1280.18
Nov18,1703.05,1276.65
Oct18,1652.51,1334.68
Sep18,1491.45,1352.56
Aug18,1642.92,1420.06
Jul18,1864.4,1319.64
Jun18,1720.87,1445.14
May18,1754.87,1426.2
Apr18,1864.63,1401.19
Mar18,1747.53,1623.72
Feb18,1663.86,1309.18
Jan18,1824.58,1202.86
Dec17,1594.49,1221.92
Nov17,1522.53,1300.69
Oct17,1665.5,1377.17
Sep17,1580.46,1442.19
Aug17,1678.98,1336.57
Jul17,1555.29,1244.65
Jun17,1595.17,1245.81
May17,1666.78,1267.01
Apr17,1455.12,1282.33
Mar17,1570.19,1382.03
Feb17,1433.73,1169.21
Jan17,1514.56,1113.35
