Month,Credit Card,Other
Mar '20,69343,151556
Feb '20,71913,153334
Jan '20,72118,152666
Dec '19,72185,152109
Nov '19,72082,153348
Oct '19,72424,152624
Sep '19,72332,152135
Aug '19,72389,151848
Jul '19,72409,149902
Jun '19,72864,149321
May '19,72887,148614
Apr '19,72766,148195
Mar '19,72766,147581
Feb '19,72728,147299
Jan '19,72373,147533
Dec '18,72247,146830
Nov '18,72438,146294
Oct '18,72289,145677
Sep '18,72319,145617
Aug '18,72161,144559
Jul '18,71939,143887
Jun '18,71976,143302
May '18,71599,142541
Apr '18,71275,141659
