Country,2017,2018
Germany,46475.0,47096
Italy,38520.0,39018
United Kingdom,32201.0,32493
France,32006.0,32034
Spain,23500.0,24074
Poland,22503.0,23429
Turkey,12036.0,12398
Netherlands,8373.0,8531
Romania,5998.0,6453
Belgium,5799.0,5869
Czechia,5538.0,5748
Greece,5283.0,5407
Portugal,5059.0,5283
Austria,4899.0,4979
Sweden,4845.0,4871
Switzerland,4571.0,4603
Hungary,3472.0,3642
Finland,3423.0,3495
Bulgaria,2771.0,2773
Norway,2719.0,2752
Denmark,2530.0,2594
Slovakia,2223.0,2322
Ireland,2087.0,2128
Serbia,1969.0,2000
Croatia *,1596.0,1666
Lithuania,1357.0,1431
Slovenia,1118.0,1143
Estonia,726.0,747
Latvia,690.0,693
Cyprus,526.6,551
Luxembourg,403.0,415
North Macedonia,403.0,415
Malta,292.0,300
Iceland,250.0,226
Montenegro,207.0,206
Liechtenstein,29.0,30
