State,White,Black,Hispanic,Asian,Pacific Islander,American Indian/Alaska Native,Two or more races
Alabama,54.5%,32.8%,7.9%,1.5%,0.1%,0.9%,2.2%
Alaska,47.6%,2.9%,6.7%,5.9%,2.9%,22.9%,11.1%
Arizona,38.2%,5.4%,45.5%,2.9%,0.4%,4.5%,3.1%
Arkansas,60.8%,20.4%,13.1%,1.6%,0.8%,0.6%,2.6%
California,23.2%,5.5%,54.3%,11.6%,0.5%,0.5%,4.5%
Colorado,53.4%,4.6%,33.7%,3.2%,0.3%,0.7%,4.2%
Connecticut,53.6%,12.8%,24.8%,5.1%,0.1%,0.3%,3.3%
Delaware,44.2%,30.3%,17.4%,3.9%,0.1%,0.4%,3.7%
District of Columbia,11.1%,68.5%,16.3%,1.6%,0.1%,0.2%,2.2%
Florida,38%,22.1%,33.1%,2.7%,0.2%,0.3%,3.5%
Georgia,39.7%,36.7%,15.6%,4.1%,0.1%,0.2%,3.7%
Hawaii,12.2%,1.7%,14.2%,28.6%,28.6%,0.2%,14.4%
Idaho,75.4%,1.1%,18.1%,1.2%,0.3%,1.1%,2.7%
Illinois,48%,16.8%,26.2%,5.1%,0.1%,0.3%,3.5%
Indiana,67.9%,12.6%,11.9%,2.4%,0.1%,0.2%,4.9%
Iowa,75.9%,6.1%,10.8%,2.5%,0.3%,0.4%,4%
Kansas,64.2%,6.9%,19.8%,2.8%,0.2%,1%,5.2%
Kentucky,76.8%,10.5%,6.7%,1.8%,0.1%,0.1%,3.9%
Louisiana,44.7%,43.6%,6.9%,1.6%,0.1%,0.7%,2.5%
Maine,89.3%,3.6%,2.2%,1.5%,0.1%,0.8%,2.5%
Maryland,37.3%,33.7%,17.4%,6.6%,0.1%,0.3%,4.6%
Massachusetts,60.2%,9%,20%,6.8%,0.1%,0.2%,3.6%
Michigan,66.2%,18%,7.9%,3.4%,0.1%,0.6%,3.9%
Minnesota,66.5%,11%,9.3%,6.8%,0.1%,1.6%,4.7%
Mississippi,44.2%,48.5%,3.7%,1.1%,0.1%,0.2%,2.1%
Missouri,71.1%,15.9%,6.4%,2%,0.3%,0.4%,3.9%
Montana,78.3%,0.9%,4.6%,0.8%,0.2%,11.6%,3.6%
Nebraska,66.5%,6.7%,18.8%,2.8%,0.1%,1.4%,3.8%
Nevada,32.5%,11.1%,42.4%,5.5%,1.4%,0.9%,6.2%
New Hampshire,85.5%,2%,5.6%,3.3%,0.1%,0.3%,3.3%
New Jersey,43.6%,15.3%,28.7%,10%,0.2%,0.1%,2%
New Mexico,23.2%,1.9%,61.7%,1.1%,0.1%,10%,1.9%
New York,43.2%,17.2%,27%,9.3%,0.3%,0.7%,2.4%
North Carolina,48.2%,25.3%,17.5%,3.3%,0.1%,1.2%,4.3%
North Dakota,77.4%,4.9%,4.9%,1.6%,0.3%,8.5%,2.4%
Ohio,69.9%,16.6%,5.7%,2.4%,0.1%,0.1%,5.2%
Oklahoma,48.9%,8.6%,17.2%,2%,0.4%,13.6%,9.3%
Oregon,62.4%,2.3%,23%,4%,0.7%,1.3%,6.1%
Pennsylvania,65.8%,14.7%,11.4%,3.9%,0.1%,0.2%,3.9%
Rhode Island,57.7%,8.6%,25.3%,3.3%,0.2%,0.7%,4.2%
South Carolina,50.8%,33.6%,9.5%,1.6%,0.1%,0.3%,4.1%
South Dakota,73.9%,3.2%,6%,1.8%,0.1%,11.1%,4%
Tennessee,62.8%,21.9%,10.3%,2%,0.1%,0.2%,2.7%
Texas,27.9%,12.6%,52.4%,4.4%,0.1%,0.4%,2.3%
Utah,74.4%,1.4%,17.1%,1.7%,1.6%,1.1%,2.7%
Vermont,90.2%,2.1%,2%,2%,0.1%,0.2%,3.5%
Virginia,48.9%,22.4%,15.7%,7%,0.2%,0.3%,5.5%
Washington,54.4%,4.4%,23.2%,7.7%,1.1%,1.2%,8%
West Virginia,90.1%,4.3%,1.8%,0.7%,-,0.1%,3.1%
Wisconsin,69.9%,9.2%,12%,4%,0.1%,1.1%,3.8%
Wyoming,77.9%,1.1%,13.7%,0.8%,0.1%,3.7%,2.6%
U.S. Average,48.2%,15.3%,26.4%,5.1%,0.4%,1%,3.6%
