The 20 worst terrorist attacks,Fatalities,Injuries
Nigeria (September 17),142,0
Syria (July 22),123,0
Pakistan (January 10),107,169
Pakistan (August 16),91,169
Pakistan (September 22),87,131
Afghanistan (August 2),82,0
Afghanistan (August 18),82,22
Kenya (September 21),72,201
Syria (June 11),70,0
Nigeria (December 20),70,0
Algeria (January 16),69,8
Yemen (December 5),68,215
Syria (February 21),62,201
Syria (February 6),61,0
Central African Republic (December 5),54,0
Afghanistan (April 3),53,95
Syria (March 21),50,84
Iraq (April 24),46,0
Nigeria (July 6),46,4
Pakistan (March 3),45,151
