specialty,Male,Female
All specialties,64.8%,35.2%
Allergy & immunology,61.6%,38.4%
Anatomic/clinical pathology,62.2%,37.8%
Anesthesiology,74.5%,25.5%
Cardiovascular disease,85.9%,14.1%
Child & adolescent psychiatry,47.3%,52.7%
Critical care medicine,73.9%,26.1%
Dermatology,51.1%,48.9%
Emergency medicine,72.4%,27.6%
"Endocrinology, diabetes & metabolism",51%,49%
Family medicine/general practice,60%,40%
Gastroenterology,82.4%,17.6%
General surgery,79.4%,20.6%
Geriatric medicine,47.4%,52.6%
Hematology & oncology,66.7%,33.3%
Infectious disease,58.9%,41.1%
Internal medicine,62.1%,37.9%
Internal medicine/pediatrics,47.2%,52.8%
Interventional cardiology,92.3%,7.7%
Neonatal-perinatal medicine,48.9%,51.1%
Nephrology,71.7%,28.3%
Neurological surgery,91.6%,8.4%
Neurology,70.6%,29.4%
Neuroradiology,80.5%,19.5%
Obstetrics & gynecology,43%,57%
Ophthalmology,74.7%,25.3%
Orthopedic surgery,94.7%,5.3%
Otolaryngology,82.9%,17.1%
Pain medicine & pain management,81.6%,18.4%
Pediatric cardiology,64.1%,35.9%
Pediatric hematology/oncology,46.6%,53.4%
Pediatrics,36.7%,63.3%
Physical medicine & rehabilitation,64.7%,35.3%
Plastic surgery,84%,16%
Preventive medicine,66.2%,33.8%
Psychiatry,60.9%,39.1%
Pulmonary disease,88.2%,11.8%
Radiation oncology,72.8%,27.2%
Radiology & diagnostic radiology,74.4%,25.6%
Rheumatology,55.3%,44.7%
Sports medicine (orthopedic surgery),93.4%,6.6%
Thoracic surgery,93%,7%
Urology,91.3%,8.7%
Vascular & interventional radiology,90.5%,9.5%
Vascular surgery,86.9%,13.1%
