Month,Illness cases,Deaths
Dec 16,1423830,24274
Dec 15,1391086,23566
Dec 14,1356841,22634
Dec 13,1350810,22087
Dec 12,1335871,21900
Dec 11,1314278,21567
Dec 10,1287092,21064
Dec 9,1254358,20460
Dec 8,1229269,20002
Dec 7,1202644,19434
Dec 6,1194550,18995
Dec 5,1183758,18839
Dec 4,1158263,18577
Dec 3,1141689,18097
Dec 2,1117953,17659
Dec 1,1094678,17177
Nov 30,1071345,16694
Nov 29,1055874,16306
Nov 28,1052356,16181
Nov 27,1038763,16011
Nov 26,1017830,15640
Nov 25,995879,15210
Nov 24,963192,14832
Nov 23,946822,14460
Nov 22,932367,14159
Nov 21,927990,14061
Nov 20,914118,13918
Nov 19,891525,13662
Nov 18,867484,13390
Nov 17,843757,13138
Nov 16,817526,12833
Nov 15,802946,12573
Nov 14,799733,12511
Nov 13,785093,12404
Nov 12,762832,12216
Nov 11,738094,11994
Nov 10,715693,11781
Nov 9,689146,11408
Nov 8,682624,11372
Nov 7,668114,11306
Nov 6,653992,11241
Nov 5,631172,11110
Nov 4,608611,10949
Nov 3,577381,10717
Nov 2,569598,10669
Nov 1,552061,10541
Oct 31,531795,10483
Oct 30,517736,10391
Oct 29,498354,10305
Oct 28,486972,10259
Oct 27,463419,10121
Oct 26,450258,10091
Oct 25,437698,10062
Oct 24,434798,10035
Oct 23,426113,10008
Oct 22,403874,9960
Oct 21,397922,9911
Oct 20,385591,9882
Oct 19,377068,9842
Oct 18,368671,9798
Oct 17,364664,9785
Oct 16,359802,9773
Oct 15,352107,9739
Oct 14,344487,9716
Oct 13,337314,9682
Oct 12,332850,9640
Oct 11,326309,9626
Oct 10,323463,9620
Oct 9,316346,9594
Oct 8,315941,9583
Oct 7,311137,9582
Oct 6,307127,9566
Oct 5,304673,9554
Oct 4,301573,9533
Oct 3,298374,9518
Oct 2,295539,9509
Oct 1,293168,9505
Sep 30,292672,9494
Sep 29,290471,9492
Sep 28,288639,9476
Sep 27,286339,9464
Sep 26,285026,9459
Sep 25,283712,9451
Sep 24,281346,9436
Sep 23,279025,9423
Sep 22,277412,9405
Sep 21,275560,9390
Sep 20,273965,9390
Sep 19,272932,9388
Sep 18,271247,9386
Sep 17,269048,9376
Sep 16,266869,9373
Sep 15,265014,9367
Sep 14,263222,9356
Sep 13,261737,9354
Sep 12,260817,9352
Sep 11,259735,9347
Sep 10,256433,9342
Sep 9,255543,9342
Sep 8,253651,9334
Sep 7,253626,9330
Sep 6,251728,9330
Sep 5,251058,9329
Sep 4,250283,9327
Sep 3,248840,9322
Sep 2,247411,9320
Sep 1,246015,9306
Aug 31,244802,9303
Aug 30,243305,9300
Aug 29,242835,9299
Aug 28,242126,9293
Aug 27,240571,9290
Aug 26,239014,9284
Aug 25,237583,9281
Aug 24,236606,9281
Aug 23,234494,9276
Aug 22,233861,9272
Aug 21,233029,9264
Aug 20,231292,9263
Aug 19,229706,9249
Aug 18,228121,9241
Aug 17,226742,9236
Aug 16,225007,9235
Aug 15,224488,9235
Aug 14,223791,9230
Aug 13,222281,9217
Aug 12,220859,9215
Aug 11,219541,9213
Aug 10,218508,9207
Aug 9,217288,9202
Aug 8,216903,9201
Aug 7,216196,9195
Aug 6,215039,9181
Aug 5,214113,9179
Aug 4,212828,9163
Aug 3,212111,9154
Aug 2,211225,9151
Aug 1,211005,9149
July 31,210399,9147
July 30,209535,9138
July 29,208546,9133
July 28,207707,9127
July 27,207112,9124
July 26,206667,9121
July 25,206278,9118
July 24,205623,9116
July 23,204881,9108
July 22,204276,9102
July 21,203717,9100
July 20,203495,9098
July 19,202735,9093
July 18,202426,9092
July 17,202045,9090
July 16,201945,9089
July 15,201288,9086
July 14,200456,9078
July 13,200440,9077
July 12,199919,9072
July 11,199709,9068
July 10,199202,9061
July 9,198768,9054
July 8,198699,9040
July 7,198343,9028
July 6,198064,9024
July 5,197523,9021
July 4,197198,9017
July 3,196178,9013
July 2,196371,9010
July 1,196300,9001
June 30,195758,8993
June 29,195042,8976
June 28,194693,8969
June 27,194458,8962
June 26,194036,8956
June 25,193371,8936
June 24,192786,8924
June 23,192437,8914
June 22,191768,8897
June 21,191272,8895
June 20,190670,8888
June 19,190299,8882
June 18,189817,8869
June 17,188422,8840
June 16,188213,8814
June 15,187518,8804
June 14,187267,8797
June 13,187226,8789
June 12,186691,8780
June 11,186691,8776
June 10,186522,8748
June 9,186506,8718
June 8,186109,8690
June 7,185750,8675
June 6,185452,8659
June 5,184924,8635
June 4,184427,8611
June 3,184097,8576
June 2,183771,8557
June 1,183594,8531
May 31,183410,8468
May 30,183189,8412
May 29,182922,8363
May 28,182196,8327
May 27,181524,8312
May 26,181200,8298
May 25,180338,8287
May 24,180013,8275
May 23,179776,8256
May 22,179021,8212
May 21,178473,8169
May 20,178055,8112
May 19,177289,8041
May 18,176551,7975
May 17,176244,7958
May 16,175715,7931
May 15,175233,7897
May 14,174284,7884
May 13,173274,7755
May 12,172812,7676
May 11,171999,7569
May 10,171324,7549
May 9,170588,7510
May 8,169430,7392
May 7,168126,7275
May 6,167372,6993
May 5,166152,6993
May 4,165745,6866
May 3,165016,6812
May 2,164077,6736
May 1,163009,6623
Apr 30,162123,6518
Apr 29,160059,6314
Apr 28,159038,6161
Apr 27,158142,5985
Apr 26,157026,5880
Apr 25,155418,5805
Apr 24,153215,5575
Apr 23,151175,5354
Apr 22,149401,5127
Apr 21,147065,4862
Apr 20,145743,4642
Apr 19,143779,4543
Apr 18,142325,4403
Apr 17,138221,4098
Apr 16,134753,3804
Apr 15,132210,3495
Apr 14,131100,3261
Apr 13,127854,3022
Apr 12,125452,2871
Apr 11,122171,2736
Apr 10,118235,2706
Apr 9,113296,2349
Apr 8,109329,2096
Apr 7,103375,1810
Apr 6,100123,1584
Apr 5,97351,1524
Apr 4,91159,1275
Apr 3,84794,1107
Apr 2,81728,931
Apr 1,74508,821
Mar 31,68180,682
Mar 30,62435,541
Mar 29,58247,455
Mar 28,53340,395
Mar 27,50178,281
Mar 26,39355,222
Mar 25,33593,164
Mar 24,30081,130
Mar 23,24873,94
Mar 22,23129,93
Mar 21,21828,75
Mar 20,18361,52
Mar 19,12327,28
Mar 18,9360,26
Mar 17,8084,20
Mar 16,4838,12
Mar 15,3795,8
Mar 14,3062,6
Mar 13,2369,6
Mar 12,1567,3
Mar 11,1296,3
Mar 10,1139,2
Mar 9,1112,2
Mar 8,847,-
Mar 7,639,-
Mar 6,534,-
Mar 5,349,-
Mar 4,240,-
Mar 3,188,-
Mar 2,150,-
Mar 1,57,-
Feb 29,57,-
Feb 28,46,-
Feb 27,21,-
Feb 26,18,-
Feb 25,16,-
Feb 24,16,-
Feb 23,16,-
Feb 22,16,-
Feb 21,16,-
Feb 20,16,-
Feb 19,16,-
Feb 18,16,-
Feb 17,16,-
Feb 16,16,-
Feb 15,16,-
Feb 14,16,-
Feb 13,16,-
Feb 12,16,-
Feb 11,14,-
Feb 10,14,-
Feb 9,14,-
Feb 8,14,-
Feb 7,13,-
Feb 6,13,-
Feb 5,12,-
Feb 4,12,-
Feb 3,10,-
Feb 2,10,-
Feb 1,7,-
Jan 31,6,-
Jan 30,4,-
Jan 29,4,-
Jan 28,1,-
Jan 27,-,-
Jan 26,-,-
Jan 25,-,-
