Country,2009,2010,2011,2012,2013,2016,2017,2018
Argentinia,42265,49388,50819,50205,51158,54061,52918,49990
Canada,58436,60660,58870,55723,59842,54586,53532,48994
China,24596,30091,29147,29527,28080,23762,20612,21186
India,12329,14307,14720,13906,15790,17265,16859,14610
Vietnam,5417,5037,4638,8164,9549,9224,6897,6602
Sri Lanka,3327,4028,4026,4151,4542,5635,5458,6149
Malawi,2801,2928,4437,3729,4474,9224,7458,5671
Germany**,8146,9480,8891,7160,7286,6582,4517,4939
Indonesia,6899,6401,5690,4435,4452,4084,3639,3358
Mexico,9814,4303,4783,9225,7610,6581,3616,3094
