Species,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tilapia,44174,40890,39652,35552,42231,40318,42475,43298,38931,43544
Unclassified,3363,4220,5421,5951,6696,7007,6692,6863,6709,6752
Trout,2584,2858,2491,2399,2453,2619,5310,7570,5001,5714
Whitefish,2194,2889,2909,2893,2610,2682,2510,2940,2566,2608
"Perch, pike perch, yellow pike",452,671,808,706,599,522,476,782,1214,1136
"Pike, pickerel",245,605,785,759,618,735,771,927,792,666
Bass,786,1543,1723,517,767,533,434,434,332,569
Catfish,519,342,661,617,436,730,584,513,687,283
Eel,771,573,486,281,261,280,154,209,283,215
"Shad, sturgeon",6,26,14,17,20,51,69,20,56,68
Total,55068,54617,54950,49770,56816,55674,59540,63667,56637,62090
