retail sector,February to March,March to April,April to May,May to June,June to July,July to August,August to September,September to October
Motor vehicle & parts dealers,-25.7%,-12.3%,48.7%,9.1%,-1.2%,0.2%,3.6%,0.4%
Furniture & home furniture stores,-21.1%,-48.8%,79.1%,37.4%,0%,2.1%,0.5%,-0.4%
Electronics & appliance stores,-11%,-43.2%,36.5%,37.6%,22.9%,0.8%,-1.6%,1.2%
Building material & garden equipment & supplies dealers,-0.5%,-2.4%,12.2%,0.8%,-2.9%,2%,0.6%,0.9%
Food & beverage stores,26.9%,-12.8%,2.2%,-1.5%,0.2%,-1.2%,0%,-0.2%
Health & personal care stores,5%,-14.8%,1.5%,6.9%,3.6%,0.8%,1.7%,-0.1%
Gasoline stations,-16.5%,-24.4%,11.9%,14.8%,6.2%,0.4%,1.5%,0.4%
Clothing & clothing accessories  stores,-49.4%,-75.2%,176.7%,98.8%,5.7%,2.9%,11%,-4.2%
"Sporting goods, hobby, musical instrument, & book stores",-17.8%,-33.7%,78%,27.6%,-5%,-5.7%,5.7%,-4.2%
General merchandise stores,7.1%,-13.6%,5.9%,2.1%,-0.2%,-0.4%,1.8%,-1.1%
Miscellaneous store retailers,-14.1%,-25.9%,16.4%,21.7%,6.2%,-0.2%,1.1%,-0.9%
Nonstore retailers,4.9%,9.5%,7.2%,-2.1%,0.7%,0%,0.5%,3.1%
Total retail,-8.3%,-14.7%,18.2%,8.4%,1.2%,0.6%,1.9%,0.3%
