Year,Viral RNA tests,Antibody tests,Other*
12 March,3,0,0
13 March,4,0,0
14 March,4,0,0
15 March,4,0,0
16 March,6,0,0
17 March,8,0,0
18 March,9,0,0
19 March,11,0,0
20 March,13,0,0
21 March,13,0,0
22 March,13,0,0
23 March,15,0,0
24 March,16,0,0
25 March,17,0,0
26 March,18,0,0
27 March,20,0,0
28 March,20,0,0
29 March,20,0,0
30 March,22,0,0
31 March,22,0,0
01 April,23,1,0
02 April,24,1,0
03 April,27,1,0
04 April,27,1,0
05 April,27,1,0
06 April,28,1,0
07 April,29,1,0
08 April,31,1,0
09 April,31,1,0
10 April,33,1,0
11 April,33,1,0
12 April,33,1,0
13 April,33,1,0
14 April,34,2,0
15 April,34,3,0
16 April,36,3,0
17 April,37,3,0
18 April,38,3,0
19 April,38,3,0
20 April,39,3,0
21 April,40,3,0
22 April,41,3,0
23 April,42,3,0
24 April,42,5,0
25 April,42,5,0
26 April,42,6,0
27 April,43,6,0
28 April,43,6,0
29 April,45,7,0
30 April,45,8,0
1 May,47,8,0
2 May,47,9,0
3 May,47,9,0
4 May,48,10,0
5 May,49,10,0
6 May,52,10,0
7 May,53,10,0
8 May,54,10,1
9 May,54,10,1
10 May,54,10,1
11 May,56,10,1
12 May,56,10,1
13 May,57,10,1
14 May,59,10,1
15 May,61,10,2
16 May,61,10,2
17 May,61,10,2
18 May,63,10,2
19 May,63,10,2
20 May,63,10,2
21 May,67,10,2
22 May,69,10,2
23 May,69,10,2
24 May,69,10,2
25 May,69,10,2
26 May,69,10,2
27 May,69,10,2
28 May,70,10,2
29 May,70,13,2
30 May,70,13,2
31 May,70,13,2
1 June,71,13,2
2 June,71,13,3
3 June,71,13,3
4 June,72,15,3
5 June,73,15,3
6 June,73,15,3
7 June,73,15,3
8 June,74,17,3
9 June,76,17,3
10 June,79,18,3
11 June,79,18,3
12 June,80,18,3
13 June,81,18,3
14 June,81,18,3
15 June,82,19,3
16 June,82,19,3
17 June,86,19,3
18 June,86,20,3
19 June,86,21,3
20 June,86,21,3
21 June,86,21,3
22 June,86,21,3
23 June,89,22,3
24 June,90,22,3
25 June,93,22,3
26 June,94,23,3
27 June,94,23,3
28 June,94,23,3
29 June,96,23,3
30 June,98,24,4
1 July,99,24,4
2 July,100,24,5
3 July,100,24,5
4 July,100,24,5
5 July,100,24,5
6 July,101,25,5
7 July,104,25,5
8 July,105,26,5
9 July,107,26,5
10 July,108,27,5
11 July,108,27,5
12 July,108,27,5
13 July,111,28,5
14 July,114,28,5
15 July,114,28,5
16 July,115,29,5
17 July,116,30,5
18 July,116,30,5
19 July,116,30,5
20 July,116,30,5
21 July,117,30,5
22 July,117,30,5
23 July,118,30,5
24 July,119,32,5
25 July,119,32,5
26 July,119,32,5
27 July,121,32,5
28 July,121,32,5
29 July,121,32,5
30 July,122,32,5
31 July,124,34,5
1 August,124,34,5
2 August,124,34,5
3 August,129,34,5
4 August,129,34,5
5 August,130,35,5
6 August,131,37,5
7 August,132,37,5
8 August,132,37,5
9 August,132,37,5
10 August,134,37,5
11 August,136,37,5
12 August,136,37,5
13 August,137,37,5
14 August,137,37,5
15 August,138,37,5
16 August,138,37,5
17 August,139,39,6
18 August,139,39,6
19 August,139,39,6
20 August,139,39,6
21 August,142,39,6
22 August,142,39,6
23 August,142,39,6
24 August,142,39,6
25 August,144,40,7
26 August,145,40,7
27 August,145,40,7
28 August,147,40,7
29 August,147,40,7
30 August,147,40,8
31 August,151,42,8
1 September,153,42,8
2 September,154,42,8
3 September,155,43,8
4 September,156,43,8
5 September,156,43,8
6 September,156,43,8
7 September,156,43,8
8 September,157,43,8
9 September,158,45,8
10 September,158,45,8
11 September,158,45,8
12 September,158,45,8
13 September,158,45,8
14 September,159,46,8
15 September,159,46,8
16 September,160,46,8
17 September,160,46,8
18 September,161,46,8
19 September,161,46,8
20 September,161,46,8
21 September,162,46,8
22 September,164,46,8
23 September,165,47,8
24 September,166,47,8
25 September,167,48,8
26 September,167,48,8
27 September,167,48,8
28 September,167,48,8
29 September,170,51,8
30 September,172,51,8
1 October,174,51,9
2 October,175,51,10
3 October,175,51,10
4 October,175,51,10
5 October,176,51,10
6 October,177,52,10
7 October,178,52,10
8 October,178,55,12
9 October,178,55,12
10 October,178,55,12
11 October,178,55,12
12 October,178,55,12
13 October,178,55,12
14 October,179,55,13
15 October,179,55,14
16 October,179,55,14
17 October,179,55,14
18 October,179,55,14
19 October,179,55,14
20 October,179,55,15
21 October,179,55,15
22 October,179,55,15
23 October,179,55,15
24 October,179,55,16
25 October,179,55,16
26 October,180,55,16
27 October,180,55,16
28 October,180,56,17
29 October,180,56,17
30 October,180,56,17
31 October,180,56,17
1 November,180,56,17
2 November,180,56,17
3 November,180,56,17
4 November,180,56,17
5 November,180,56,17
6 November,180,57,17
7 November,180,57,17
8 November,180,57,17
9 November,180,57,17
10 November,180,57,17
11 November,180,57,17
12 November,180,57,17
13 November,180,57,17
