Year,Inspector General,Spaceflight Science,Space Exploration,"Safety, Security & Mission Services",Aeronautics,Construction & Environmental Compliance,Education & STEM Engagement,Space & Exploration Technology
2020,41.7,6393.7,6396.4,3084.6,666.9,600.4,0,1146.3
2019,39.3,6905.7,5050.8,2755.0,725.0,348.2,110,926.9
2018,39.0,6221.5,4790.0,2826.9,690.0,569.5,100,760
2017,37.9,5762.2,4324.0,2768.6,656.0,375.6,100,686.5
2016,37.0,5583.0,4014.0,2773.0,634.0,428.0,115,687
2015,37.0,5243.0,4367.0,2758.0,642.0,427.0,119,596
2014,38.0,5148.0,4113.0,2793.0,566.0,522.0,117,576
2013,35.0,4782.0,3706.0,2711.0,530.0,661.0,116,615
2012,38.0,4193.0,3715.0,3003.0,569.0,494.0,136,548
2011,36.0,4919.0,3928.0,3130.0,534.0,433.0,146,-
2010,36.0,4498.0,3777.0,3141.0,497.0,453.0,181,-
