Month and year,Imports,Exports
May20,4099.47,1796.22
Apr20,4148.59,1780.2
Mar20,5595.66,2625.16
Feb20,4200.31,2435.62
Jan20,5258.73,2513.68
Dec19,5113.78,2694.28
Nov19,4473.27,2936.5
Oct19,5022.1,3306.01
Sep19,5264.06,2978.21
Aug19,6190.06,3096.34
Jul19,6157.27,2898.33
Jun19,4634.38,3082.03
May19,4676.95,3038.93
Apr19,4706.86,2931.2
Mar19,4673.91,3749.1
Feb19,4181.13,2805.93
Jan19,4509.79,3074.35
Dec18,4744.25,2740.04
Nov18,4370.67,2878.78
Oct18,4955.58,3103.95
Sep18,4585.43,2773.73
Aug18,4541.97,2950.79
Jul18,4875.18,2773.5
Jun18,4688.32,3063.54
May18,4615.88,3128.23
Apr18,4079.73,3220.01
Mar18,4500.57,3317.95
Feb18,3678.41,2909.75
Jan18,3793.74,3014.51
Dec17,3772.93,2941.24
Nov17,3988.18,2834.07
Oct17,4490.83,2957.53
Sep17,3986.05,2779.95
Aug17,4280.43,3207.72
Jul17,4087.23,2667.82
Jun17,4172.49,3259.11
May17,3963.69,2982.72
Apr17,3647.84,3139.68
Mar17,3859.63,3191.81
Feb17,3532.7,2732.01
Jan17,3602.62,2460.33
