Quarter,Including Match Group,Excluding Match Group
Q3 '20,-,788.4
Q2 '20,-,726.4
Q1 '20,1228.8,684.1
Q4 '19,1217.7,670.5
Q3 '19,1246.9,705.4
Q2 '19,1186.7,688.7
Q1 '19,1105.8,641.2
Q4 '18,1104.1,-
Q3 '18,1104.6,-
Q2 '18,1059.1,-
Q1 '18,995.1,-
Q4 '17,950.6,-
Q3 '17,828.4,-
Q2 '17,767.4,-
Q1 '17,760.8,-
Q4 '16,811.2,-
Q3 '16,764.1,-
Q2 '16,745.4,-
Q1 '16,819.2,-
Q4 '15,848.7,-
Q3 '15,838.6,-
Q2 '15,771.1,-
Q1 '15,772.5,-
Q4 '14,830.8,-
Q3 '14,782.2,-
Q2 '14,756.3,-
Q1 '14,740.2,-
Q4 '13,724.5,-
Q3 '13,756.87,-
Q2 '13,799.4,-
Q1 '13,742.2,-
Q4 '12,765.3,-
Q3 '12,714.5,-
Q2 '12,680.6,-
Q1 '12,640.6,-
Q4 '11,596.9,-
Q3 '11,516.9,-
Q2 '11,485.4,-
Q1 '11,460.2,-
Q4 '10,451.4,-
Q3 '10,413,-
Q2 '10,394.2,-
Q1 '10,378.2,-
