Year and candidate,Democrat,Republican,Democratic-Republican,Whig,States' Rights,American Independent
2020: Donald Trump,-,8,-,-,-,-
2016: Donald Trump*,-,8,-,-,-,-
2012: Mitt Romney,-,8,-,-,-,-
2008: John McCain,-,9,-,-,-,-
2004: George W. Bush*,-,9,-,-,-,-
2000: George W. Bush*,-,9,-,-,-,-
1996: Bill Clinton*,9,-,-,-,-,-
1992: Bill Clinton*,9,-,-,-,-,-
1988: George H. W. Bush*,-,10,-,-,-,-
1984: Ronald Reagan*,-,10,-,-,-,-
1980: Ronald Reagan*,-,10,-,-,-,-
1976: Jimmy Carter*,10,-,-,-,-,-
1972: Richard Nixon*,-,10,-,-,-,-
1968: George Wallace,-,-,-,-,-,10
1964: Barry M. Goldwater,-,10,-,-,-,-
1960: John F. Kennedy*,10,-,-,-,-,-
1956: Dwight D. Eisenhower*,-,10,-,-,-,-
1952: Adlai Stevenson,10,-,-,-,-,-
1948: Strom Thurmond,-,-,-,-,10,-
1944: Franklin D. Roosevelt*,10,-,-,-,-,-
1940: Franklin D. Roosevelt*,10,-,-,-,-,-
1936: Franklin D. Roosevelt*,10,-,-,-,-,-
1932: Franklin D. Roosevelt*,10,-,-,-,-,-
1928: Al Smith,10,-,-,-,-,-
1924: John W. Davis,10,-,-,-,-,-
1920: James M. Cox,10,-,-,-,-,-
1916: Woodrow Wilson*,10,-,-,-,-,-
1912: Woodrow Wilson*,10,-,-,-,-,-
1908: William Jennings Bryan,9,-,-,-,-,-
1904: Alton B. Parker,9,-,-,-,-,-
1900: William Jennings Bryan,8,-,-,-,-,-
1896: William Jennings Bryan,8,-,-,-,-,-
1892: Grover Cleveland*,8,-,-,-,-,-
1888: Grover Cleveland,8,-,-,-,-,-
1884: Grover Cleveland*,8,-,-,-,-,-
1880: Winfield Hancock,8,-,-,-,-,-
1876: Rutherford B. Hayes*,-,8,-,-,-,-
1872: Ulysses S. Grant*/**,-,-,-,-,-,-
1868: Horatio Seymour,7,-,-,-,-,-
1864: Seceded from union** *,-,-,-,-,-,-
1860: John C. Breckenridge,6,-,-,-,-,-
1856: James Buchanan*,6,-,-,-,-,-
1852: Franklin Pierce*,6,-,-,-,-,-
1848: Zachary Taylor*,-,-,-,6,-,-
1844: James K. Polk*,6,-,-,-,-,-
1840: William Henry Harrison*,-,-,-,5,-,-
1836: Martin Van Buren*,5,-,-,-,-,-
1832: Andrew Jackson*,5,-,-,-,-,-
1828: Andrew Jackson*,5,-,-,-,-,-
1824: Andrew Jackson,-,-,5,-,-,-
1820: James Monroe*,-,-,3,-,-,-
1816: James Monroe*,-,-,3,-,-,-
1812: James Madison*,-,-,3,-,-,-
