Year,Males,Females
All ages,314964,311144
0-4 years,16773,16209
5-9 years,17450,16544
10-14 years,17038,16063
15-19 years,17235,16096
20-24 years,19738,18802
25-29 years,24484,23089
30-34 years,24906,24527
35-39 years,24766,24385
40-44 years,23781,23277
45-49 years,23625,22509
50-54 years,24495,22505
55-59 years,22037,20512
60-64 years,17485,16990
65-69 years,13597,13913
70-74 years,10796,11264
75-79 years,7422,8870
80-84 years,5248,7420
85-89 years,2920,5086
90-94 years,1019,2390
95 years and older,149,693
