Year and candidate,Democrat,Republican,Unaffiliated,Democratic-Republican,Nullifier,Whig,States' Rights
2020: Donald Trump,-,9,-,-,-,-,-
2016: Donald Trump*,-,9,-,-,-,-,-
2012: Mitt Romney,-,9,-,-,-,-,-
2008: John McCain,-,8,-,-,-,-,-
2004: George W. Bush*,-,8,-,-,-,-,-
2000: George W. Bush*,-,8,-,-,-,-,-
1996: Bob Dole,-,8,-,-,-,-,-
1992: George H. W. Bush,-,8,-,-,-,-,-
1988: George H. W. Bush*,-,8,-,-,-,-,-
1984: Ronald Reagan*,-,8,-,-,-,-,-
1980: Ronald Reagan*,-,8,-,-,-,-,-
1976: Jimmy Carter*,8,-,-,-,-,-,-
1972: Richard Nixon*,-,8,-,-,-,-,-
1968: Richard Nixon*,-,8,-,-,-,-,-
1964: Barry M. Goldwater,-,8,-,-,-,-,-
1960: John F. Kennedy*,8,-,-,-,-,-,-
1956: Adlai Stevenson,8,-,-,-,-,-,-
1952: Adlai Stevenson,8,-,-,-,-,-,-
1948: Strom Thurmond,-,-,-,-,-,-,8
1944: Franklin D. Roosevelt*,8,-,-,-,-,-,-
1940: Franklin D. Roosevelt*,8,-,-,-,-,-,-
1936: Franklin D. Roosevelt*,8,-,-,-,-,-,-
1932: Franklin D. Roosevelt*,8,-,-,-,-,-,-
1928: Al Smith,9,-,-,-,-,-,-
1924: John W. Davis,9,-,-,-,-,-,-
1920: James M. Cox,9,-,-,-,-,-,-
1916: Woodrow Wilson*,9,-,-,-,-,-,-
1912: Woodrow Wilson*,9,-,-,-,-,-,-
1908: William Jennings Bryan,9,-,-,-,-,-,-
1904: Alton B. Parker,9,-,-,-,-,-,-
1900: William Jennings Bryan,9,-,-,-,-,-,-
1896: William Jennings Bryan,9,-,-,-,-,-,-
1892: Grover Cleveland*,9,-,-,-,-,-,-
1888: Grover Cleveland,9,-,-,-,-,-,-
1884: Grover Cleveland*,9,-,-,-,-,-,-
1880: Winfield Hancock,7,-,-,-,-,-,-
1876: Rutherford B. Hayes*,-,7,-,-,-,-,-
1872: Ulysses S. Grant*,-,7,-,-,-,-,-
1868: Ulysses S. Grant*,-,6,-,-,-,-,-
1864: Seceded from Union,-,-,-,-,-,-,-
1860: John C. Breckenridge,8,-,-,-,-,-,-
1856: James Buchanan*,8,-,-,-,-,-,-
1852: Franklin Pierce*,8,-,-,-,-,-,-
1848: Lewis Cass,9,-,-,-,-,-,-
1844: James K. Polk*,9,-,-,-,-,-,-
1840: Martin Van Buren,11,-,-,-,-,-,-
1836: Willie P Magnum,-,-,-,-,-,11,-
1832: John Floyd,-,-,-,-,11,-,-
1828: Andrew Jackson*,11,-,-,-,-,-,-
1824: Andrew Jackson,-,-,-,11,-,-,-
1820: James Monroe*,-,-,-,11,-,-,-
1816: James Monroe*,-,-,-,11,-,-,-
1812: James Madison*,-,-,-,11,-,-,-
1808: James Madison*,-,-,-,10,-,-,-
1804: Thomas Jefferson*,-,-,-,10,-,-,-
1800: Thomas Jefferson*,-,-,-,8,-,-,-
1796: Thomas Jefferson,-,-,-,8,-,-,-
1792: George Washington*,-,-,8,-,-,-,-
1789: George Washington*,-,-,7,-,-,-,-
