Quarter,Android,Apple iOS,Windows tablet,Others
Q3 '20,30.1,15.1,5.2,0.3
Q2 '20,23.6,14.3,5.2,0.2
Q1 '20,18.4,9.6,4.1,0.2
Q4 '19,29.1,13.5,5.8,0.2
Q3 '19,23.2,10.1,4.6,0.1
Q2 '19,21.6,10.7,5,0.1
Q1 '19,21.6,9.9,5,0.1
Q4 '18,32.9,14.5,7.1,0.4
Q3 '18,24.3,9.7,5.7,-
Q2 '18,23.3,11.6,5.5,-
Q1 '18,23.9,9.1,5.7,-
Q4 '17,34.8,13.2,7.3,-
Q3 '17,27.8,10.3,6.7,0
Q2 '17,26.4,11.4,6,0
Q1 '17,26.9,8.9,6.3,0
Q4 '16,40.3,13.1,10.1,0
Q3 '16,30.1,9.3,7.3,0
Q2 '16,30.1,10.0,6.7,0
Q1 '16,30.1,10.3,6.4,0
Q4 '15,44.9,16.1,8.5,0
Q3 '15,36.0,9.9,5.8,0
Q2 '15,35.2,10.9,4.6,0
Q1 '15,35.7,12.6,3.4,0
Q4 '14,51.8,21.4,5.1,0
Q3 '14,39.8,12.3,3.2,0
Q2 '14,36.8,13.3,2.7,0
Q1 '14,37.2,16.4,3.1,0
Q4 '13,47.8,26.0,3.4,0
Q2 '13,33.2,14.6,2.1,0.1
Q1 '13,25.6,19.5,2.8,0.4
Q4 '12,38.9,22.9,-,2.4
Q3 '12,10.2,14.0,-,0.5
Q2 '12,18.5,17.0,-,0.5
Q1 '12,6.4,11.8,-,0.5
Q4 '11,10.5,15.4,-,0.9
Q3 '11,5.0,11.1,-,1.1
Q2 '11,4.4,9.3,-,1.3
Q4 '10,3.1,7.3,-,0.3
Q3 '10,0.1,4.2,-,0.1
Q2 '10,0.1,3.3,-,0.1
