Year,United States,Brazil,Mexico,Peru,Canada,Ecuador
14-Mar,7,0,0,0,0,1
15-Mar,10,0,0,0,0,1
16-Mar,12,0,0,0,0,0
17-Mar,16,0,0,0,3,0
18-Mar,23,1,0,0,4,0
19-Mar,42,3,0,0,1,1
20-Mar,0,2,0,2,1,0
21-Mar,110,5,2,1,2,4
22-Mar,80,7,0,2,6,0
23-Mar,131,7,0,0,2,7
24-Mar,119,9,2,0,4,4
25-Mar,211,12,1,2,3,9
26-Mar,249,11,0,1,8,2
27-Mar,246,20,3,1,4,5
28-Mar,411,15,4,2,14,7
29-Mar,484,22,4,5,7,7
30-Mar,318,22,4,2,1,10
31-Mar,661,23,8,6,28,4
1-Apr,909,42,1,6,7,17
2-Apr,1059,40,8,17,13,41
3-Apr,915,58,13,8,29,0
4-Apr,1104,60,10,6,49,25
5-Apr,1344,73,19,12,44,27
6-Apr,1146,54,15,10,49,8
7-Apr,1342,67,31,9,43,11
8-Apr,1906,114,16,15,57,29
9-Apr,1922,133,33,14,55,22
10-Apr,1873,141,20,17,74,30
11-Apr,2087,115,39,31,60,25
12-Apr,1831,68,40,12,84,18
13-Apr,1500,99,23,12,64,18
14-Apr,1541,105,36,0,63,22
15-Apr,2408,204,74,37,123,0
16-Apr,4928,204,43,24,107,33
17-Apr,2299,188,37,20,183,15
18-Apr,3770,217,60,26,116,18
19-Apr,1856,206,104,48,158,35
20-Apr,1772,115,36,52,113,18
21-Apr,1857,113,26,45,110,33
22-Apr,2524,166,145,39,144,13
23-Apr,1721,165,113,46,140,17
24-Apr,3179,407,99,42,172,23
25-Apr,1054,357,152,62,156,16
26-Apr,2172,346,84,66,163,0
27-Apr,1687,189,46,28,95,0
28-Apr,1369,338,83,54,147,87
29-Apr,2110,474,135,72,152,208
30-Apr,2611,449,163,89,137,12
1-May,2040,435,127,108,188,17
2-May,2062,428,113,73,207,163
3-May,1317,421,89,76,175,308
4-May,1297,275,93,86,116,193
5-May,1252,296,117,58,172,5
6-May,2144,600,236,100,189,0
7-May,2353,615,197,89,189,49
8-May,2239,610,257,94,176,36
9-May,1510,751,199,87,161,50
10-May,1614,730,193,100,124,13
11-May,734,496,112,75,178,410
12-May,1156,396,108,72,122,18
13-May,1703,881,353,96,176,182
14-May,1746,749,294,112,135,7
15-May,1773,844,257,98,168,4
16-May,1662,824,290,126,90,256
17-May,1186,816,278,130,117,94
18-May,808,485,132,125,103,48
19-May,791,674,155,141,60,63
20-May,1568,1179,334,125,70,40
21-May,1518,888,424,110,118,49
22-May,1263,1188,420,124,122,51
23-May,1305,1001,479,96,98,117
24-May,1080,965,190,129,105,40
25-May,633,653,215,83,69,12
26-May,500,807,239,173,121,95
27-May,696,1039,501,159,94,0
28-May,1526,1086,463,195,126,72
29-May,1175,1156,447,116,112,38
30-May,1219,1124,371,131,102,21
31-May,945,956,364,141,94,0
1-Jun,602,480,151,135,222,24
2-Jun,764,623,237,128,31,36
3-Jun,1034,1262,470,0,69,44
4-Jun,994,1349,1091,260,103,48
5-Jun,1036,1473,817,137,139,0
6-Jun,932,1005,625,131,66,48
7-Jun,659,904,341,139,70,74
8-Jun,712,525,188,164,27,13
9-Jun,493,679,354,106,35,21
10-Jun,999,1272,596,167,62,48
11-Jun,918,1274,708,165,63,30
12-Jun,896,1239,587,206,34,0
13-Jun,849,909,504,199,55,108
14-Jun,767,892,424,190,58,46
15-Jun,296,612,269,190,39,22
16-Jun,395,627,439,172,29,33
17-Jun,836,1282,730,196,38,41
18-Jun,754,1269,770,201,41,37
19-Jun,717,1238,667,204,46,80
20-Jun,678,1206,647,199,46,69
21-Jun,607,1022,387,201,64,43
22-Jun,256,641,1044,184,20,24
23-Jun,427,654,759,0,6,0
24-Jun,826,1374,793,359,18,51
25-Jun,751,1185,965,182,30,35
26-Jun,2437,1141,718,175,20,34
27-Jun,623,990,719,178,4,63
28-Jun,500,1109,602,196,8,18
29-Jun,265,552,267,182,6,5
30-Jun,336,692,473,187,44,73
1-Jul,1270,1280,648,173,25,25
2-Jul,652,1038,741,183,0,49
3-Jul,678,1252,679,185,51,63
4-Jul,694,1290,654,181,21,61
5-Jul,242,1091,523,186,11,69
6-Jul,271,602,273,177,10,12
7-Jul,359,620,480,183,9,40
8-Jul,1174,1254,895,180,18,52
9-Jul,829,1223,782,181,26,27
10-Jul,982,1220,730,181,12,39
11-Jul,806,1214,665,186,10,44
12-Jul,717,1071,539,182,14,48
13-Jul,391,631,276,188,10,16
14-Jul,400,733,443,184,7,16
15-Jul,861,1300,878,175,8,67
