Year,Graduates,Apprenticeship,A level,GCSE A* to C
64,24458,22181,16984,15036
63,23858,23066,17158,15026
62,27139,22478,17719,16010
61,28207,23177,18419,16051
60,29292,25241,19460,16475
59,32257,24673,20528,17285
58,32770,24791,20771,17563
57,33402,26635,20175,17383
56,34337,26511,20694,17996
55,35267,26556,22556,18430
54,35922,27286,21822,18621
53,35386,26999,22272,19048
52,34870,28056,21812,18919
51,36082,27088,21873,19469
50,36034,27590,22148,19105
49,35357,28034,23777,19834
48,36279,28578,22739,19619
47,35297,28184,21830,19742
46,35225,29154,22261,19939
45,35677,29653,22318,19468
44,35040,30503,22295,19714
43,35401,28117,22909,19614
42,35444,28253,21704,18849
41,35467,29230,21693,19055
40,35401,27831,21519,19261
39,35169,27462,22294,19562
38,33907,27953,21086,18905
37,33712,27352,21525,19157
36,33960,27786,21940,19901
35,33335,25706,21104,19265
34,32532,25829,22047,18976
33,32510,26320,21460,19140
32,31384,23496,20682,18328
31,31391,25825,20973,18201
30,30308,25306,20676,18628
29,29448,24126,19944,17714
28,27324,23923,19431,17595
27,26182,23392,18774,16996
26,25440,22512,18764,16750
25,23375,21570,18170,16216
24,21542,20493,17300,16002
23,19076,20157,16293,14932
22,16955,18413,15131,14384
21,14881,16530,14676,14034
