Quarter,Samsung,SK Hynix,Micron Group,Nanya,Winbond,Elpida
Q2 '18,5043,2152,1551,83,39,-
Q1 '18,4766,2122,1408,96,44,-
Q4 '17,4530,2076,1277,81,43,-
Q3 '17,3780,1764,805,86,43,-
Q2 '17,3817,1350,925,79,38,-
Q1 '17,3162,1295,829,84,40,-
Q4 '16,3373,1332,678,84,37,-
Q3 '16,2960,1047,487,59,35,-
Q2 '16,2418,988,449,41,33,-
Q1 '16,2026,903,349,42,32,-
Q4 '15,2619,1175,642,33,29,-
Q3 '15,2586,1200,695,40,24,-
Q2 '15,2219,920,637,47,28,-
Q1 '15,1863,820,809,50,33,-
Q4 '14,1665,1009,840,63,31,-
Q3 '14,1757,957,657,62,30,-
Q2 '14,1483,981,737,31,34,-
Q1 '14,1341,728,780,39,28,-
Q4 '13,1486,788,699,42,25,-
Q3 '13,1689,822,728,31,24,-
Q2 '13,1453,742,99,8,30,559
Q1 '13,1453,564,71,3,29,482
Q4 '12,1501,654,36,7,24,523
Q3 '12,1182,479,96,4,29,470
Q2 '12,1166,351,131,7,39,273
Q1 '12,1039,330,87,-,29,256
