Survey date,Not at all,Rarely,Sometimes,Frequently,Always
Mar 30-Apr 5,80.6%,3.6%,3.7%,4.3%,7.8%
Apr 6-Apr 12,78.8%,3.9%,4.2%,3.5%,9.6%
Apr 13-Apr 19,75%,4.1%,5.3%,4.2%,11.4%
Apr 20-Apr 26,73.6%,5.2%,5.5%,5.2%,10.5%
Apr 27-May 3,73.5%,4.7%,5.4%,6.1%,10.3%
May 4-May 10,69.5%,5.8%,6.1%,5.3%,13.2%
May 11-May 17,63.3%,5.5%,8.6%,7.2%,15.4%
May 18-May 24,59.9%,6.6%,10.3%,8.5%,14.6%
May 25-May 31,59.7%,7.4%,9.8%,8.7%,14.4%
Jun 1-Jun 7,57.3%,6.7%,9%,9.8%,17.3%
Jun 8-Jun 14,53.5%,7.2%,12.5%,8.1%,18.7%
Jun 15-Jun 21,44.5%,6.2%,13.2%,12.6%,23.5%
Jun 22-Jun 28,50.5%,6.9%,10.8%,12.4%,19.3%
Jun 29-Jul 5,50.6%,7.7%,10.8%,14.4%,16.5%
Jul 6-Jul 12,43.7%,7.6%,11.8%,15.3%,21.6%
Jul 20-Jul 26,29%,5.7%,13%,20.1%,32.2%
Jul 27-Aug 2,15.5%,3.6%,7.8%,17.7%,55.3%
Aug 3-Aug 9,13.7%,3.4%,7.2%,17.4%,58.4%
Aug 10-Aug 16,15.5%,3.5%,5.8%,17.7%,57.4%
Aug 17-Aug 23,12.2%,3.7%,8.2%,18.8%,57.1%
Aug 24-Aug 30,11.6%,3.4%,6.4%,16.9%,61.7%
Aug 31-Sep 6,12.5%,2.9%,5%,15.3%,64.3%
Sep 7-Sep 13,11.3%,3%,5.9%,17.4%,62.4%
Sep 14-Sep 20,12.2%,2.5%,6.4%,14.7%,64.2%
Sep 21-Sep 27,13.4%,2.3%,5.6%,14.2%,64.5%
Sep 28-Oct 4,9.1%,2%,5%,12.9%,71.1%
Oct 12-Oct 18,11%,2.2%,4.7%,13.6%,68.5%
