Month,iOS,Android
"June 17, 2020",3.0,4.0
"July 28, 2020",7.7,8.7
"August 4, 2020",7.8,8.8
"August 11, 2020",7.9,9.0
"August 17, 2020",8.0,9.2
"August 25, 2020",8.2,9.3
"September 1, 2020",8.3,9.5
"September 8, 2020",8.4,9.6
"September 15, 2020",8.5,9.7
"September 22, 2020",8.6,9.8
"October 12, 2020",8.9,10.4
"October 22, 2020",9.3,11.0
"October 29, 2020",9.6,11.5
"November 5, 2020",10.0,11.9
"November 12, 2020",10.2,12.2
"November 19, 2020",10.4,12.4
"November 26, 2020",10.6,12.6
"December 3, 2020",10.7,12.8
"December 10, 2020",10.8,13.0
"December 17, 2020",11.0,13.2
