prefecture of Japan,Number of deaths,Total number of patients
Tokyo,509,42793
Osaka,346,21798
Kanagawa,211,13306
Aichi,127,10940
Hokkaido,237,9341
Saitama,153,8988
Chiba,90,7300
Hyogo,91,6169
Fukuoka,109,5956
Okinawa,72,4491
Kyoto,39,2769
Shizuoka,14,1872
Ibaraki,23,1777
Gunma,22,1341
Miyagi,10,1272
Nara,13,1238
Gifu,14,1194
Kumamoto,13,1074
Hiroshima,6,983
Mie,9,919
Ishikawa,50,864
Shiga,11,808
Nagano,6,774
Tochigi,2,719
Kagoshima,13,653
Okayama,11,633
Miyazaki,1,536
Fukushima,8,523
Wakayama,6,485
Toyama,26,461
Yamaguchi,2,404
Yamanashi,9,386
Oita,3,360
Niigata,0,350
Ehime,6,339
Saga,2,331
Fukui,11,321
Aomori,6,321
Nagasaki,3,273
Iwate,4,213
Kochi,4,196
Tokushima,9,184
Kagawa,2,160
Yamagata,1,152
Shimane,0,152
Akita,1,87
Tottori,0,61
