Response,2015,2017
Decided to buy more expensive products or materials,45%,42%
Products or services were more costly than expected,40%,41%
Decided to change project scope or design,33%,31%
Project was more complex than expected,32%,31%
Discovered unexpected construction-related issues,28%,24%
Poor project management by service providers,8%,7%
Poor communication by/with service providers,6%,5%
Discovered unexpected building code requirements,6%,5%
Decided to change or hire new service providers,4%,4%
