Month and year,Imports,Exports
May20,286.28,246.77
Apr20,289.3,349.32
Mar20,347.12,364.56
Feb20,330.64,365.18
Jan20,396.15,377.62
Dec19,383.7,339.76
Nov19,365.41,650.69
Oct19,325.44,530.92
Sep19,370.83,447.7
Aug19,354.43,351.31
Jul19,394.12,351.2
Jun19,384.48,352.56
May19,430.0,379.98
Apr19,348.64,350.21
Mar19,449.04,333.65
Feb19,357.77,388.48
Jan19,286.25,220.5
Dec18,306.93,179.29
Nov18,204.5,401.52
Oct18,196.02,229.53
Sep18,203.1,179.91
Aug18,217.25,132.72
Jul18,189.52,181.65
Jun18,174.74,160.13
May18,266.62,213.44
Apr18,195.87,248.92
Mar18,240.77,286.77
Feb18,206.27,198.6
Jan18,204.68,180.06
Dec17,214.5,180.95
Nov17,213.48,297.82
Oct17,203.07,219.76
Sep17,209.76,189.86
Aug17,181.61,200.66
Jul17,163.34,196.82
Jun17,194.42,244.03
May17,185.39,236.14
Apr17,167.93,173.24
Mar17,210.2,215.94
Feb17,168.62,183.46
Jan17,165.14,153.13
