Year,Men,Women
Rio 2016,43.03,49.44
London 2012,43.94,49.55
Beijing 2008,43.75,49.62
Athens 2004,44.0,49.41
Sydney 2000,43.84,49.11
Atlanta 1996,43.49,48.25
Barcelona 1992,43.5,48.83
Seoul 1988,43.87,48.65
Los Angeles 1984,44.27,48.83
Moscow 1980,44.6,48.88
Montreal 1976,44.26,49.29
Munich 1972,44.66,51.08
Mexico City 1968,43.8,52
Tokyo 1964,45.1,52
Rome 1960,44.9,-
Melbourne 1956,46.7,-
Helsinki 1952,45.9,-
London 1948,46.2,-
Berlin 1936,46.5,-
Los Angeles 1932,46.2,-
Amsterdam 1928,47.8,-
Paris 1924,47.6,-
Antwerp 1920,49.6,-
Stockholm 1912,48.2,-
London 1908,50.0,-
St. Louis 1904,49.2,-
Paris 1900,49.4,-
Athens 1896,54.2,-
