Month and year,Imports,Exports
May20,654.77,655.08
Apr20,676.22,678.4
Mar20,829.52,839.84
Feb20,661.24,740.53
Jan20,732.44,771.26
Dec19,693.51,759.64
Nov19,744.98,772.15
Oct19,855.47,790.93
Sep19,848.82,677.65
Aug19,878.32,742.57
Jul19,852.18,689.98
Jun19,809.09,708.29
May19,933.73,740.57
Apr19,897.86,786.19
Mar19,839.01,777.22
Feb19,816.55,684.4
Jan19,904.25,780.06
Dec18,861.02,731.47
Nov18,845.81,848.89
Oct18,924.85,757.54
Sep18,867.43,731.5
Aug18,904.43,794.29
Jul18,878.48,674.06
Jun18,899.4,712.17
May18,989.25,796.94
Apr18,965.84,803.82
Mar18,907.17,860.07
Feb18,827.09,749.03
Jan18,824.59,718.84
Dec17,762.16,812.72
Nov17,767.98,852.41
Oct17,796.48,736.55
Sep17,785.52,781.58
Aug17,823.8,761.69
Jul17,756.3,711.58
Jun17,799.42,815.09
May17,745.23,783.98
Apr17,746.25,705.74
Mar17,816.26,801.63
Feb17,689.83,685.58
Jan17,742.76,712.85
