Response,Total,18-34 years,35-44 years,45-54 years,55-64 years,65+ years,Male,Female
Tennis,23%,25%,21%,25%,19%,26%,26%,21%
Golf,23%,20%,20%,20%,23%,34%,28%,19%
Baseball,22%,26%,20%,19%,21%,23%,25%,20%
Soccer,13%,23%,15%,8%,6%,8%,14%,13%
Football,13%,20%,13%,13%,6%,8%,14%,12%
Mixed Martial Arts,11%,18%,9%,8%,8%,7%,11%,11%
Basketball,11%,21%,10%,8%,5%,4%,13%,9%
Auto Racing,9%,8%,7%,10%,12%,10%,10%,8%
Hockey,7%,8%,8%,8%,7%,5%,8%,7%
Boxing,4%,9%,2%,2%,2%,-,5%,3%
Wrestling,2%,4%,3%,2%,2%,-,3%,2%
Other,1%,2%,1%,1%,1%,1%,1%,2%
I don't associate any U.S. professional sports with positive moral values,33%,20%,36%,36%,42%,37%,29%,36%
Not sure,8%,8%,8%,9%,7%,7%,6%,9%
