Month,France,Germany,Italy,Spain,United Kingdom
Dec 14,57911,21975,64520,47624,64170
Dec 13,57761,21787,64036,47624,64026
Dec 12,57567,21466,63387,47624,63506
Dec 11,56940,20970,62626,47624,63082
Dec 10,56648,20372,61739,47344,62566
Dec 9,56352,19932,61240,47019,62033
Dec 8,55521,19342,60606,46646,61434
Dec 7,55155,18919,60078,46646,61245
Dec 6,54981,18772,59514,46252,61014
Dec 5,54767,18517,58852,46252,60617
Dec 4,54140,18034,58038,46252,60113
Dec 3,53816,17602,57045,46038,59699
Dec 2,53506,17123,56361,45784,59051
Dec 1,52731,16636,55576,45511,58448
Nov 30,52325,16248,54904,45069,58245
Nov 29,52127,16123,54363,44668,58030
Nov 28,51914,15965,53677,44668,57551
Nov 27,50957,15586,52850,44668,57031
Nov 26,50618,15160,52028,44374,56533
Nov 25,50237,14771,51306,44037,55838
Nov 24,49232,14361,50453,43668,55230
Nov 23,48732,14112,49823,43131,54751
Nov 22,48518,14022,49261,42619,54626
Nov 21,48265,13884,48569,42619,54286
Nov 20,47127,13630,47870,42619,53775
Nov 19,46698,13370,47217,42291,53274
Nov 18,46273,13119,46464,42039,52745
Nov 17,45054,12814,45733,41688,52147
Nov 16,44548,12547,45229,41253,51934
Nov 15,44246,12485,44683,40769,51766
Nov 14,43892,12378,44139,40769,51304
Nov 13,42960,12200,43589,40769,50928
Nov 12,42535,11982,42953,40461,50365
Nov 11,42207,11767,42330,40105,49770
Nov 10,40987,11506,41750,39756,49238
Nov 9,40439,11352,41394,39345,49044
Nov 8,40169,11289,41063,38833,48888
Nov 7,39865,11226,40638,38833,48475
Nov 6,39037,11096,40192,38833,48120
Nov 5,38674,10930,39764,38486,47742
Nov 4,38289,10812,39412,38118,47250
Nov 3,37435,10661,39059,36495,46853
Nov 2,37019,10530,38826,36257,46717
Nov 1,36788,10481,38618,35878,46555
Oct 31,36565,10452,38321,35878,46229
Oct 30,36020,10349,38122,35878,45955
Oct 29,35785,10272,37905,35639,45675
Oct 28,35541,10183,37700,35466,45365
Oct 27,35018,10098,37479,35298,44998
Oct 26,34761,10056,37338,35031,44896
Oct 25,34645,10032,37210,34752,44745
Oct 24,34508,10003,37059,34752,44571
Oct 23,34210,9954,36968,34752,44347
Oct 22,34048,9905,36832,34521,44158
Oct 21,33885,9875,36705,34366,43967
Oct 20,33623,9836,36616,34210,43726
Oct 19,33477,9789,36543,33992,43646
Oct 18,33392,9777,36474,33775,43579
Oct 17,33303,9767,36427,33775,43429
Oct 16,33125,9734,36372,33775,43293
Oct 15,33037,9710,36289,33553,43155
Oct 14,32933,9677,36246,33413,43018
Oct 13,32825,9634,36205,33204,42875
Oct 12,32730,9615,36166,33124,42825
Oct 11,32684,9615,36140,32929,42760
Oct 10,32630,9604,36111,32929,42679
Oct 9,32521,9589,36083,32929,42592
Oct 8,32445,9578,36061,32688,42515
Oct 7,32365,9562,36030,32562,42445
Oct 6,32299,9546,36002,32486,42369
Oct 5,32230,9534,35986,32225,42350
Oct 4,32198,9529,35968,32086,42317
Oct 3,32155,9527,35941,32086,42268
Oct 2,32019,9508,35918,32086,42202
Oct 1,31956,9500,35894,31973,42143
Sep 30,31893,9488,35875,31791,42072
Sep 29,31808,9471,35851,31614,42001
Sep 28,31727,9460,35835,31411,41988
Sep 27,31700,9457,35818,31232,41971
Sep 26,31661,9452,35801,31232,41936
Sep 25,31511,9443,35781,31232,41902
Sep 24,31459,9428,35758,31118,41862
Sep 23,31416,9409,35738,31034,41825
Sep 22,31338,9396,35724,30904,41788
Sep 21,31285,9386,35707,30663,41777
Sep 20,31249,9386,35692,30495,41759
Sep 19,31249,9384,35668,30495,41732
Sep 18,31095,9378,35658,30495,41705
Sep 17,31045,9371,35645,30405,41684
Sep 16,30999,9368,35633,30243,41664
Sep 15,30950,9362,35624,30004,41637
Sep 14,30916,9350,35610,29848,41628
Sep 13,30910,9349,35603,29474,41623
Sep 12,30893,9347,35597,29474,41614
Sep 11,30813,9342,35587,29747,41608
Sep 10,30794,9341,35577,29699,41594
Sep 9,30764,9338,35563,29628,41586
Sep 8,30726,9329,35553,29594,41554
Sep 7,30701,9325,35541,29516,41551
Sep 6,30698,9325,35534,29418,41549
Sep 5,30686,9324,35518,29418,41537
Sep 4,30686,9322,35507,29418,41527
Sep 3,30686,9321,35497,29234,41514
Sep 2,30661,9313,35491,29194,41504
Sep 1,30635,9302,35483,29152,41501
Aug 31,30606,9298,35477,29094,41499
Aug 30,30602,9295,35473,29011,41498
Aug 29,30596,9289,35472,29011,41486
Aug 28,30576,9288,35463,28996,41477
Aug 27,30544,9285,35458,28996,41465
Aug 26,30544,9280,35445,28924,41449
Aug 25,30528,9277,35441,28924,41433
Aug 24,30513,9272,35437,28872,41429
Aug 23,30512,9269,35430,28838,41423
Aug 22,30503,9267,35427,28838,41405
Aug 21,30480,9260,35418,28838,41403
Aug 20,30468,9253,35412,28813,41397
Aug 19,30451,9243,35405,28797,41381
Aug 18,30429,9232,35400,28646,41369
Aug 17,30410,9232,35396,28646,41366
Aug 16,30409,9231,35392,28617,41361
Aug 15,30406,9231,35234,28617,41358
Aug 14,30388,9225,35231,28605,41347
Aug 13,30371,9211,35225,28605,41329
Aug 12,30354,9207,35215,28579,41309
Aug 11,30340,9201,35209,28576,41296
Aug 10,30324,9197,35205,28576,41278
Aug 9,30324,9196,35203,28503,41273
Aug 8,30324,9195,35190,28500,41270
Aug 7,30312,9183,35187,28500,41258
Aug 6,30305,9175,35181,28499,41240
Aug 5,30296,9168,35171,28498,41226
Aug 4,30294,9156,35166,28472,41208
