Response,Germany,United Kingdom,United States
5/31,40%,32%,33%
5/30,42%,49%,33%
5/29,41%,38%,39%
5/28,32%,51%,31%
5/27,40%,42%,33%
5/26,31%,47%,44%
5/25,44%,41%,37%
5/24,39%,42%,42%
5/23,35%,39%,43%
5/22,30%,44%,36%
5/21,37%,41%,42%
5/20,38%,44%,35%
5/19,36%,44%,48%
5/18,41%,44%,31%
5/17,35%,46%,35%
5/16,39%,42%,37%
5/15,37%,43%,40%
5/14,30%,45%,38%
5/13,36%,38%,38%
5/12,31%,51%,35%
5/11,34%,41%,41%
5/10,36%,35%,34%
5/09,41%,48%,39%
5/08,41%,53%,43%
5/07,38%,43%,41%
5/06,42%,50%,40%
5/05,38%,46%,33%
5/04,49%,53%,38%
5/03,34%,54%,31%
5/02,45%,49%,30%
5/01,43%,49%,42%
4/30,45%,40%,47%
4/29,42%,49%,41%
4/28,39%,48%,38%
4/27,39%,39%,51%
4/26,34%,45%,38%
4/25,38%,45%,47%
4/24,31%,50%,39%
4/23,45%,44%,38%
4/22,46%,43%,36%
4/21,37%,44%,25%
4/20,41%,52%,42%
4/19,42%,50%,35%
4/18,46%,49%,28%
4/17,39%,42%,39%
4/16,42%,38%,41%
4/15,51%,48%,45%
4/14,49%,46%,45%
4/13,46%,43%,44%
4/12,40%,47%,36%
4/11,36%,39%,37%
4/10,38%,43%,40%
4/09,44%,40%,40%
4/08,48%,36%,35%
4/07,35%,35%,30%
4/06,48%,33%,34%
4/05,40%,27%,34%
4/04,43%,44%,34%
4/03,39%,33%,38%
4/02,47%,41%,33%
4/01,39%,40%,38%
3/31,30%,39%,39%
3/30,36%,36%,36%
3/29,36%,35%,27%
3/28,37%,27%,33%
3/27,41%,38%,28%
3/26,30%,30%,36%
3/25,37%,20%,40%
3/24,28%,12%,37%
3/23,32%,20%,33%
