Response,Germany,United Kingdom,United States
Testing for COVID-19 / Corona,39%,41%,41%
Policies for travel,28%,35%,30%
Risks to your health,24%,28%,30%
COVID-19 / Corona in general,19%,23%,27%
Policies for businesses,16%,15%,26%
What to do if you show symptoms for COVID-19 / Corona,22%,15%,24%
Shopping availability,13%,19%,22%
Policies for working,17%,24%,21%
Policies for schools / kindergarten,17%,23%,21%
Rules for social distancing,15%,22%,20%
How to handle personal hygiene,8%,8%,10%
Other,6%,6%,4%
Don’t know,22%,17%,15%
