Month,2014,2015,2016,2017,2018,2019,2020
Dec,595.6,684.2,688.8,740.6,751.3,717.7,-
Nov,596.4,663.9,673.4,738.1,759.5,700.5,-
Oct,633.3,655.4,670.3,693.4,753.2,726.7,-
Sep,602.9,673.9,663.0,706.1,740.6,739.5,-
Aug,578.9,665.3,711.9,726.6,734.8,742.3,-
Jul,561.2,650.1,661.9,720.7,774.2,752.4,-
Jun,575.4,649.0,647.1,745.6,754.6,733.5,-
May,575.3,642.2,640.2,777.2,743.6,758.8,-
Apr,595.7,639.1,641.2,744.0,706.3,777.1,-
Mar,558.1,695.4,646.3,737.0,777.1,770.0,623.3
Feb,553.2,620.4,778.9,688.0,722.2,782.3,700
Jan,549.1,609.5,699.0,712.3,710.7,851.0,724.7
