Level of Education,Total,Less Than 9th Grade,High School (9th to 12th Nongrad),Graduate (Incl GED),Some College No Degree,Associate Degree,Bachelor's Degree,Master's Degree,Professional Degree,Doctorate Degree
2005,39579,19814,19964,29448,31421,37990,54689,67898,119009,92863
2006,41412,20812,20901,31071,32289,39724,56788,70358,116514,103944
2007,42064,21991,21251,31286,33009,39746,57181,70186,120978,95565
2008,42588,21056,21007,31283,32555,39506,58613,70856,125019,99697
2009,42469,19485,20603,30627,32295,39771,56665,73738,127803,103054
2010,42956,20815,20996,30999,31920,39468,57619,71513,125899,106855
2011,44729,21454,20936,32493,32793,40907,59415,76650,126233,108061
2012,45598,22092,21384,32630,33749,40085,60159,75008,139682,113971
2013,46814,22937,23394,32948,35525,40656,61088,78098,122997,116171
2014,47653,25641,25028,34099,35289,42848,62466,76044,136669,102389
2015,49994,26782,24567,35615,36139,44012,65482,79753,142008,114235
2016,51893,29975,26733,36702,37761,44511,67267,82531,134719,125586
2017,53536,27291,26145,38006,38184,45637,68252,87880,140003,120954
2018,55619,28746,26220,38936,39945,48238,71155,87123,149837,124879
2019,58544,29679,29082,39371,42808,48687,73163,93092,152703,140337
