autonomous community of Spain,Male,Female
Andalusia,4182541,4294176
Catalonia,3742961,3909108
Community of Madrid,3234075,3513350
Region of Valencia,2476471,2552179
Galicia,1303990,1398254
Castile and Leon,1185159,1216071
Canary Islands,1108625,1128684
Basque Country,1059168,1130142
Castile-La Mancha,1026678,1018707
Murcia,752689,751919
Aragon,656764,673681
Balearic Islands,605893,604857
Extremadura,526811,534957
Asturias,486957,531819
Navarre,324401,332086
Cantabria,283803,298553
La Rioja,155656,160270
Melilla,42500,41996
Ceuta,42484,41548
