voivodeship of Poland,Confirmed cases,Fatal cases,Cured
Śląskie,114028,1787,52066
Mazowieckie,99835,1611,59072
Małopolskie,86282,1497,55500
Wielkopolskie,82345,1227,21540
Dolnośląskie,59434,876,28575
Łódzkie,55806,707,23178
Kujawsko-Pomorskie,46487,470,13932
Pomorskie,45870,645,19811
Podkarpackie,45492,948,23956
Lubelskie,41586,750,23919
Zachodniopomorskie,29318,294,10098
Świętokrzyskie,26037,470,8866
Opolskie,24177,496,10671
Warmińsko-Mazurskie,23722,320,9609
Podlaskie,21359,358,7357
Lubuskie,17484,258,8386
