Year,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Two or more races
2019,250.52,44.08,4.19,19.5,0.81,9.14
2018,249.96,43.73,4.15,19.13,0.79,8.92
2017,249.27,43.37,4.1,18.76,0.78,8.69
2016,248.41,42.97,4.05,18.28,0.77,8.46
2015,247.38,42.53,4.0,17.75,0.75,8.21
2014,246.35,42.09,3.95,17.2,0.74,7.97
2013,245.31,41.65,3.9,16.68,0.72,7.73
2012,244.35,41.23,3.85,16.2,0.71,7.5
2011,243.29,40.78,3.8,15.72,0.69,7.27
2010,242.24,40.36,3.75,15.26,0.68,7.04
2009,241.03,39.9,3.64,14.83,0.66,6.71
2008,239.78,39.43,3.5,14.4,0.64,6.35
2007,238.38,38.94,3.38,13.93,0.61,5.99
2006,236.95,38.44,3.26,13.48,0.59,5.66
2005,235.49,37.96,3.15,13.01,0.57,5.34
2004,234.12,37.51,3.04,12.54,0.55,5.04
2003,232.72,37.07,2.95,12.1,0.53,4.75
2002,231.45,36.68,2.86,11.65,0.51,4.48
2001,230.05,36.26,2.77,11.18,0.49,4.22
2000,228.53,35.81,2.68,10.71,0.47,3.96
