Response,Female,Male
Food and groceries (incl. non alcoholic beverages),66%,66%
"Personal hygiene products (incl. toilet paper, hand sanitizer, and masks)",52%,47%
Household cleaning products,34%,34%
"Clothing, apparel, and fashion accessories",26%,23%
Cosmetics and beauty products,22%,11%
Medication,18%,21%
Consumer technology and electronics,13%,23%
Pet food and related supplies,12%,12%
"Movies, music and television entertainment",11%,15%
"Toys, games and puzzles",10%,14%
Hobby and arts and craft supplies,9%,9%
Furniture and household items,9%,8%
Others,9%,12%
Books and stationery,6%,7%
Sports equipment and apparel,5%,10%
Alcoholic beverages,2%,6%
