State,Percentage of COVID-19 deaths,Percentage of population
Nevada,15.3%,8.1%
Iowa,3.5%,2.6%
Colorado,3.6%,3.1%
Tennessee,2.1%,1.8%
Wisconsin,3%,2.9%
Washington,8.8%,8.7%
California,14.4%,14.5%
Virginia,6.1%,6.5%
Illinois,4.8%,5.6%
Louisiana,0.7%,1.6%
All known deaths,4.5%,5.3%
Minnesota,3.6%,4.9%
Ohio,1.1%,2.3%
Pennsylvania,2.3%,3.6%
New York,7.1%,8.5%
North Carolina,1.5%,3%
Indiana,0.5%,2.3%
Florida,0.9%,2.7%
Michigan,1.3%,3.3%
Arizona,1.4%,3.4%
Maryland,3.9%,6.2%
Georgia,1.6%,4.1%
Texas,1.5%,4.9%
Connecticut,1.1%,4.6%
Massachusetts,2.7%,6.8%
New Jersey,5.4%,9.7%
