Week,Influenza Type A,Influenza Type B
52,19627,17281
51,16622,13912
50,12451,9123
49,9557,6240
48,8209,4741
47,6414,4310
46,4511,2863
45,3788,2341
44,2832,1514
43,2443,1310
42,2171,996
41,2089,1062
40,1971,901
39,1599,1057
38,1531,967
37,1551,977
36,1730,1124
35,1640,1147
34,1729,1067
33,1614,1065
32,1757,980
31,1852,971
30,2110,1067
29,2707,1197
28,2755,1159
27,3217,1307
26,3451,1440
25,3376,1534
24,3547,1401
23,3323,1656
22,2928,1905
21,3157,2245
20,2981,2423
19,2856,2358
18,3243,2192
17,4853,2900
16,6604,3095
15,9676,3319
14,12469,2613
13,17933,3719
12,23267,3319
11,30251,2685
10,33220,1970
9,38137,1513
8,45165,1339
7,50683,1291
6,52163,1123
5,48818,1093
4,43221,929
3,36924,914
2,31108,831
1,24145,652
