rare earth oxides,2009,2010,2011,2012,2013
Lanthanum oxide (US$/metric ton),4604,23820,98757,25547,7866
Cerium oxide (US$/metric ton),3437,23102,98217,24684,7863
Praseodymium oxide (US$/metric ton),14381,49338,204067,116162,91385
Neodymium oxide (US$/metric ton),15208,50635,250574,122364,71833
Samarium oxide (US$/metric ton),3429,16000,104816,58032,13296
Europium oxide (US$/kilogram),478,553,2923,2596,1095
Gadolinium oxide (US$/metric ton),-,10707,62724,24167,24033
Terbium oxide (US$/kilogram),360,557,2344,2026,920
Dysprosium oxide (US$/kilogram),109,235,1508,1190,555
Holmium oxide (US$/kilogram),-,41,303,107,66
Erbium oxide (US$/kilogram),-,90,236,150,68
Ytterbium oxide (US$/kilogram),-,27,91,113,53
Lutetium oxide (US$/kilogram),-,274,827,1385,1201
Yttrium oxide (US$/kilogram),-,60,143,111,26
