Month and year,Imports,Exports
May20,175.46,120.42
Apr20,177.43,140.15
Mar20,221.04,163.44
Feb20,219.94,174.77
Jan20,280.8,160.76
Dec19,260.76,176.83
Nov19,235.5,246.52
Oct19,278.67,244.43
Sep19,276.12,234.24
Aug19,315.5,203.44
Jul19,352.01,220.49
Jun19,275.16,238.57
May19,290.64,221.64
Apr19,260.96,210.09
Mar19,496.69,249.05
Feb19,585.04,197.28
Jan19,312.01,220.24
Dec18,276.75,216.83
Nov18,281.2,225.35
Oct18,280.9,233.68
Sep18,260.46,186.6
Aug18,301.61,249.47
Jul18,291.45,206.79
Jun18,294.31,227.11
May18,298.9,175.23
Apr18,277.75,157.0
Mar18,271.19,194.5
Feb18,263.8,147.03
Jan18,326.05,152.83
Dec17,331.21,184.98
Nov17,289.22,165.07
Oct17,307.34,171.26
Sep17,315.21,164.9
Aug17,306.36,160.91
Jul17,283.23,131.38
Jun17,263.55,136.63
May17,282.13,146.47
Apr17,291.63,150.26
Mar17,298.82,147.1
Feb17,356.94,145.45
Jan17,319.57,155.4
