Year,Public,Private nonprofit,Private for-profit
1970,2194.98,113.3,10.67
1975,3831.97,113,20.76
1980,4327.59,114.09,83.41
1985,4269.73,108.79,152.55
1990,4996.48,89.16,154.45
1995,5277.4,75.15,139.55
2000,5697.06,58.84,192.2
2005,6184.0,43.52,260.3
2006,6219.88,39.16,254.27
2007,6335.83,33.49,259.62
2008,6639.93,35.36,295.66
2009,7101.57,34.77,386.24
2010,7218.06,32.68,432.85
2011,7068.16,39.85,403.14
2012,6792.07,37.7,338.08
2013,6626.41,32.19,312.04
2014,6397.55,30.38,286.75
2015,6224.3,50.01,225.15
2016,5842.91,50.56,198.95
2017,5717.46,48.4,186.92
2018,5546.7,45.15,153.35
2019*,5571.0,-,-
2020*,5584.0,-,-
2021*,5600.0,-,-
2022*,5614.0,-,-
2023*,5632.0,-,-
2024*,5652.0,-,-
2025*,5670.0,-,-
2026*,5693.0,-,-
2027*,5705.0,-,-
2028*,5714.0,-,-
2029*,5721.0,-,-
