Year and candidate,Democratic,Republican,Did not vote,People's Party
2020: Joe Biden*/**,6,-,-,-
2016: Hillary Clinton,6,-,-,-
2012: Barack Obama*,6,-,-,-
2008: Barack Obama*,5,-,-,-
2004: George W. Bush*,-,5,-,-
2000: George W. Bush*,-,4,-,-
1996: Bill Clinton*,4,-,-,-
1992: Bill Clinton*,4,-,-,-
1988: George H. W. Bush*,-,4,-,-
1984: Ronald Reagan*,-,4,-,-
1980: Ronald Reagan*,-,3,-,-
1976: Gerald R. Ford,-,3,-,-
1972: Richard Nixon*,-,3,-,-
1968: Richard Nixon*,-,3,-,-
1964: Lyndon B. Johnson*,3,-,-,-
1960: John F. Kennedy*,3,-,-,-
1956: Dwight D. Eisenhower*,-,3,-,-
1952: Dwight D. Eisenhower*,-,3,-,-
1948: Harry S. Truman*,3,-,-,-
1944: Franklin D. Roosevelt*,3,-,-,-
1940: Franklin D. Roosevelt*,3,-,-,-
1936: Franklin D. Roosevelt*,3,-,-,-
1932: Franklin D. Roosevelt*,3,-,-,-
1928: Herbert Hoover*,-,3,-,-
1924: Calvin Coolidge*,-,3,-,-
1920: Warren G. Harding*,-,3,-,-
1916: Woodrow Wilson*,3,-,-,-
1912: Woodrow Wilson*,3,-,-,-
1908: William Jennings Bryan,3,-,-,-
1904: Theodore Roosevelt*,-,3,-,-
1900: William Jennings Bryan,3,-,-,-
1896: William Jennings Bryan,3,-,-,-
1892: James B. Weaver,-,-,-,3
1888: Benjamin Harrison*,-,3,-,-
1884: James G. Blaine,-,3,-,-
1880: Winfield Hancock,3,-,-,-
1876: Rutherford B. Hayes*,-,3,-,-
1872: Ulysses S. Grant*,-,3,-,-
1868: Ulysses S. Grant*,-,3,-,-
1864: Abraham Lincoln*,-,2,1,-
