Year and candidate,Democrat,Republican,Democratic-Republican
2020: Joe Biden*,20,-,-
2016: Hillary Clinton,20,-,-
2012: Barack Obama*,20,-,-
2008: Barack Obama*,21,-,-
2004: John Kerry,21,-,-
2000: Al Gore,22,-,-
1996: Bill Clinton*,22,-,-
1992: Bill Clinton*,22,-,-
1988: George H. W. Bush*,-,24,-
1984: Ronald Reagan*,-,24,-
1980: Ronald Reagan*,-,26,-
1976: Gerald R. Ford,-,26,-
1972: Richard Nixon*,-,26,-
1968: Richard Nixon*,-,26,-
1964: Lyndon B. Johnson*,26,-,-
1960: John F. Kennedy*,27,-,-
1956: Dwight D. Eisenhower*,-,27,-
1952: Dwight D. Eisenhower*,-,27,-
1948: Harry S. Truman*,28,-,-
1944: Franklin D. Roosevelt*,28,-,-
1940: Franklin D. Roosevelt*,29,-,-
1936: Franklin D. Roosevelt*,29,-,-
1932: Franklin D. Roosevelt*,29,-,-
1928: Herbert Hoover*,-,29,-
1924: Calvin Coolidge*,-,29,-
1920: Warren G. Harding*,-,29,-
1916: Charles Evans Hughes,-,29,-
1912: Woodrow Wilson*,29,-,-
1908: William Howard Taft*,-,27,-
1904: Theodore Roosevelt*,-,27,-
1900: William McKinley*,-,24,-
1896: William McKinley*,-,24,-
1892: Grover Cleveland*,24,-,-
1888: Benjamin Harrison*,-,22,-
1884: James G. Blaine,-,22,-
1880: James A. Garfield*,-,21,-
1876: Rutherford B. Hayes*,-,21,-
1872: Ulysses S. Grant*,-,21,-
1868: Ulysses S. Grant*,-,16,-
1864: Abraham Lincoln*,-,16,-
1860: Abraham Lincoln*,-,11,-
1856: James Buchanan*,11,-,-
1852: Franklin Pierce*,11,-,-
1848: Lewis Cass,9,-,-
1844: James K. Polk*,9,-,-
1840: Martin Van Buren,5,-,-
1836: Martin Van Buren*,5,-,-
1832: Andrew Jackson*,5,-,-
1828: Andrew Jackson*,3,-,-
"1824: Andrew Jackson  (2), John Quincy Adams* (1)",-,-,3
1820: James Monroe*,-,-,3
