Business,Total,E-commerce
Motor vehicles and parts dealers,1191321,35348
Furniture and home furnishings stores,116895,1533
Electronics and appliance stores,100205,2056
Building materials and garden equipment and supplies dealers,381313,2795
Food and beverage stores,745736,4837
Health and personal care stores,347454,744
Gasoline stations  (*S),503925,-
Clothing and clothing accessories stores,268163,10981
"Sporting goods, hobby, musical instrument, and book stores",81179,2617
General merchandise stores,706298,-
Miscellaneous store retailers,130130,-
Nonstore retailers,696849,453584
Electronic shopping and mail-order houses,611743,451635
