Month and year,Imports,Exports
May20,720.77,590.66
Apr20,809.23,639.14
Mar20,1011.65,817.08
Feb20,954.05,968.28
Jan20,1069.27,1230.07
Dec19,1069.84,763.59
Nov19,1034.93,776.25
Oct19,1206.28,851.9
Sep19,1116.7,825.92
Aug19,1089.98,901.49
Jul19,1247.12,844.95
Jun19,1053.65,864.2
May19,1135.13,861.57
Apr19,1132.55,890.95
Mar19,1102.45,826.39
Feb19,916.62,742.35
Jan19,1018.9,788.42
Dec18,959.88,843.64
Nov18,1130.35,1151.15
Oct18,1144.6,838.87
Sep18,1088.64,773.39
Aug18,1177.47,761.59
Jul18,1256.0,763.73
Jun18,1162.16,798.12
May18,1124.53,908.87
Apr18,1092.29,792.03
Mar18,1107.13,841.02
Feb18,1098.89,731.74
Jan18,1184.25,752.99
Dec17,1090.46,805.8
Nov17,1062.0,768.12
Oct17,1054.66,852.79
Sep17,1096.74,777.01
Aug17,1087.21,762.55
Jul17,1135.94,774.0
Jun17,1139.8,771.92
May17,1150.09,782.36
Apr17,1128.52,751.45
Mar17,1072.62,827.22
Feb17,899.06,709.55
Jan17,1043.44,725.86
