State,Others,Ron Paul,Newt Gingrich,Rick Santorum,Mitt Romney
Utah,0.2%,4.7%,0.5%,1.5%,93.1%
South Dakota,5.4%,13%,4%,11.5%,66.1%
New Mexico,0%,10.3%,5.8%,10.5%,73.3%
New Jersey,0%,10.4%,3.1%,5.2%,81.3%
Montana,4%,14.3%,4.3%,8.9%,68.4%
California,1.1%,10.2%,3.8%,5.2%,79.6%
Texas,5.7%,11.9%,4.7%,8%,69%
Kentucky,5.9%,12.5%,5.9%,8.9%,66.7%
Arkansas,0%,13.4%,4.9%,13.3%,68.3%
Oregon,0%,12.5%,5.6%,9.2%,72.7%
Nebraska,0%,9.9%,5.2%,14%,70.9%
West Virginia,1%,11%,6.3%,12.1%,69.6%
North Carolina,5.2%,11.1%,7.6%,10.4%,65.7%
Indiana,0%,15.6%,6.4%,13.3%,64.7%
Rhode Island,1.2%,23.9%,6.1%,5.7%,63.2%
Pennsylvania,0%,13.2%,10.5%,18.3%,58%
New York,0%,15.3%,12.7%,8.7%,63.3%
Delaware,0%,10.6%,5.9%,27.1%,56.5%
Connecticut,2%,13.5%,10.3%,6.9%,67.4%
District of Columbia,0%,12%,10.7%,0%,70.2%
Maryland,0.5%,9.5%,10.9%,28.9%,49.1%
Wisconsin,1.3%,11.2%,5.9%,36.9%,44.1%
Louisiana,1.6%,6.1%,15.9%,49%,26.7%
Illinois,0.4%,9.3%,8%,35%,46.7%
Puerto Rico,0%,1.3%,2.2%,8.5%,88%
Mississippi,0.5%,4.4%,31.3%,32.9%,30.3%
Hawaii,0%,18.9%,10.9%,25.4%,44.8%
Alabama,1.7%,5%,29.3%,34.5%,29%
Virgin Islands,25.8%,29.2%,4.7%,6%,34.4%
Northern Marianas Islands,0%,3.2%,3.3%,6.2%,87.3%
Kansas,0.6%,3.2%,3.3%,51.2%,20.9%
Guam,0%,0%,0%,0%,100%
Wyoming,15.7%,12.2%,0.5%,27.8%,44%
Virginia,0%,40.5%,0%,0%,59.5%
Vermont,0%,25.5%,8.1%,23.7%,39.7%
Tennessee,1.1%,9%,24%,37.3%,28.1%
Oklahoma,0.3%,9.6%,27.5%,33.8%,28%
Ohio,0%,9.2%,14.6%,37.1%,37.9%
North Dakota,0%,28.1%,8.5%,39.7%,23.7%
Massachusetts,0.8%,9.5%,4.6%,12%,72.2%
Idaho,0%,18.2%,2.1%,17.1%,61.6%
Georgia,0.4%,6.6%,47.2%,19.6%,25.9%
Alaska,0.3%,24%,14.1%,29.2%,32.4%
Washington,3.4%,24.8%,10.3%,23.8%,37.6%
Michigan,2.5%,11.6%,6.5%,37.9%,41.1%
Arizona,1.1%,8.4%,16.2%,26.6%,47.3%
Minnesota,0.3%,27.1%,10.8%,44.9%,16.9%
Colorado,0.1%,11.8%,12.8%,40.3%,34.9%
Nevada,0%,18.8%,21.1%,10%,50.1%
Maine,1.1%,35.7%,6.2%,17.7%,39.2%
Florida,0.5%,7%,31.9%,13.4%,46.4%
South Carolina,1.2%,13%,40.4%,17%,27.8%
New Hampshire,1.5%,22.9%,9.4%,9.4%,39.3%
Iowa,5.2%,21.4%,13.3%,24.6%,24.5%
