Year,Confirmed cases,Active cases,Recoveries,Deaths
12/26/20,3021964,541299,2426439,54226
12/25/20,2992706,540793,2398254,53659
12/24/20,2963688,539735,2370857,53096
12/23/20,2933753,537325,2343967,52461
12/22/20,2906503,535071,2319520,51912
12/21/20,2877727,531014,2295362,51351
12/20/20,2848377,521862,2275657,50858
12/19/20,2819429,514340,2254742,50347
12/18/20,2791220,512825,2228633,49762
12/17/20,2762668,510977,2202540,49151
12/16/20,2734454,509790,2176100,48564
12/15/20,2707945,510367,2149610,47968
12/14/20,2681256,509068,2124797,47391
12/13/20,2653928,500752,2106235,46941
12/12/20,2625848,493437,2085958,46453
12/11/20,2597711,491978,2059840,45893
12/10/20,2569126,490177,2033669,45280
12/09/20,2541199,488689,2007792,44718
12/08/20,2515009,489324,1981526,44159
12/07/20,2488912,488727,1956588,43597
12/06/20,2460770,479891,1937738,43141
12/05/20,2431731,472651,1916396,42684
12/04/20,2402949,472021,1888752,42176
12/03/20,2375546,474088,1859851,41607
12/02/20,2347401,475999,1830349,41053
12/01/20,2322056,478125,1803467,40464
11/30/20,2295654,477055,1778704,39895
11/29/20,2269316,468332,1761457,39527
11/28/20,2242633,464095,1739470,39068
11/27/20,2215533,464801,1712174,38558
11/26/20,2187990,464436,1685492,38062
11/25/20,2162503,464546,1660419,37538
11/24/20,2138828,467126,1634671,37031
11/23/20,2114502,466517,1611445,36540
11/22/20,2089329,457707,1595443,36179
11/21/20,2064748,451535,1577435,35778
11/20/20,2039926,453201,1551414,35311
11/19/20,2015608,454102,1526656,25573
11/18/20,1991998,456528,1501083,34387
11/17/20,1971013,461178,1475904,33931
11/16/20,1948603,461265,1453849,33489
11/15/20,1925825,452654,1439985,33186
11/14/20,1903253,444890,1425529,32834
11/13/20,1880551,441205,1406903,32443
11/12/20,1858568,438368,1388168,32032
11/11/20,1836960,436010,1369357,31593
11/10/20,1817109,435207,1350741,31161
11/09/20,1796132,430198,1335141,30793
11/08/20,1774334,419378,1324419,30537
11/07/20,1753836,410658,1312927,30251
11/06/20,1733440,407429,1296124,29887
11/05/20,1712858,404180,1279169,29509
11/04/20,1693454,397306,1266931,29217
11/03/20,1673686,393494,1251364,28828
11/02/20,1655038,390532,1236033,28473
11/01/20,1636781,382873,1225673,28235
10/31/20,1618116,374712,1215414,27990
10/30/20,1599976,371760,1200560,27656
10/29/20,1581693,368351,1186041,27301
10/28/20,1563976,365740,1171301,26935
10/27/20,1547774,362245,1158940,26589
10/26/20,1531224,358859,1146096,26269
10/25/20,1513877,349305,1138522,26050
10/24/20,1497167,340528,1130818,25821
10/23/20,1480646,335870,1119251,25525
10/22/20,1463306,330076,1107988,25242
10/21/20,1447335,325823,1096560,24952
10/20/20,1431635,321392,1085608,24635
10/19/20,1415316,315046,1075904,24366
10/18/20,1399334,304571,1070576,24187
10/17/20,1384235,295034,1065199,24002
10/16/20,1369313,289008,1056582,23723
10/15/20,1354163,282575,1048097,23491
10/14/20,1340409,277499,1039705,23205
10/13/20,1326178,271427,1031785,22966
10/12/20,1312310,265353,1024235,22722
10/11/20,1298718,255679,1020442,22597
10/10/20,1285084,246434,1016202,22448
10/09/20,1272238,240560,1009421,22257
10/08/20,1260112,235727,1002329,22056
10/07/20,1248619,231479,995275,21865
10/06/20,1237504,227265,988576,21663
10/05/20,1225889,222090,982324,21475
10/04/20,1215001,214500,979143,21358
10/03/20,1204502,207392,975859,21251
10/02/20,1194643,203270,970296,21077
10/01/20,1185231,200098,964242,20891
09/30/20,1176286,197307,958257,20722
09/29/20,1167805,194861,952399,20545
09/28/20,1159573,193268,945920,20385
09/27/20,1151438,187896,943218,20324
09/26/20,1143571,183196,940150,20225
09/25/20,1136048,181846,934146,20056
09/24/20,1128836,179059,929829,19948
09/23/20,1122241,178743,923699,19799
09/22/20,1115810,178212,917949,19649
09/21/20,1109595,178133,911973,19489
09/20/20,1103399,174624,909357,19418
09/19/20,1097251,171450,906462,19339
09/18/20,1091186,170784,901207,19195
09/17/20,1085281,170352,895868,19061
09/16/20,1079519,170488,890114,18917
09/15/20,1073849,170759,884305,18785
09/14/20,1068320,170985,878700,18635
09/13/20,1062811,168008,876225,18578
09/12/20,1057362,165343,873535,18484
09/11/20,1051874,165402,868107,18365
09/10/20,1046370,165734,862373,18263
09/09/20,1041007,166414,856458,18135
09/08/20,1035789,167747,850049,17993
09/07/20,1030690,169542,843277,17871
09/06/20,1025505,166736,840949,17820
09/05/20,1020310,164425,838126,17759
09/04/20,1015105,164709,832747,17649
09/03/20,1009995,165532,826935,17528
09/02/20,1005000,166417,821169,17414
09/01/20,1000048,167044,815705,17299
08/31/20,995319,168756,809387,17176
08/30/20,990326,166251,806982,17093
08/29/20,985346,163938,804383,17025
08/28/20,980405,165025,798466,16914
08/27/20,975576,166211,792561,16804
08/26/20,970865,168032,786150,16683
08/25/20,966189,169874,779747,16568
08/24/20,961493,171950,773095,16448
08/23/20,956749,169727,770639,16383
08/22/20,951897,168110,767477,16310
08/21/20,946976,169457,761330,16189
08/20/20,942106,170494,755513,16099
08/19/20,937321,171909,749423,15989
08/18/20,932493,173993,742628,15872
08/17/20,927745,175904,736101,15740
08/16/20,922853,174200,732968,15685
08/15/20,917884,172856,729411,15617
08/14/20,912823,174361,722964,15498
08/13/20,907758,175978,716396,15384
08/12/20,902701,177143,710298,15260
08/11/20,897599,179293,703175,15131
08/10/20,892654,180972,696681,15001
08/09/20,887536,179183,693422,14931
08/08/20,882347,177286,690207,14854
08/07/20,877135,178818,683592,14725
08/06/20,871894,180931,676357,14606
08/05/20,866627,183111,669026,14490
08/04/20,861423,185601,661471,14351
08/03/20,856264,188464,653593,14207
08/02/20,850870,186569,650173,14128
08/01/20,845443,184861,646524,14058
07/31/20,839981,187608,638410,13963
07/30/20,834499,191042,629655,13802
07/29/20,828990,194984,620333,13673
07/28/20,823515,197794,612217,13504
07/27/20,818120,201437,603329,13354
07/26/20,812485,198966,600250,13269
07/25/20,806720,196388,597140,13192
07/24/20,800849,199029,588774,13046
07/23/20,795038,201816,580330,12892
07/22/20,789190,204392,572053,12745
07/21/20,783328,208364,562384,12580
07/20/20,777486,211457,553602,12427
07/19/20,771546,208860,550344,12342
07/18/20,765437,206327,546863,12247
07/17/20,759203,207707,539373,12123
07/16/20,752797,209168,531692,11937
07/15/20,746369,211350,523249,11770
07/14/20,739947,215508,512825,11614
07/13/20,733699,218239,504021,11439
07/12/20,727162,214766,501061,11335
07/11/20,720547,211896,497446,11205
07/10/20,713936,213851,489068,11017
07/09/20,707301,215142,481316,10843
07/08/20,700792,217614,472511,10667
07/07/20,694230,219856,463880,10494
07/06/20,687862,223237,454329,10296
07/05/20,681251,220340,450750,10161
07/04/20,674515,217609,446879,10027
07/03/20,667883,220131,437893,9859
07/02/20,661165,222504,428978,9683
07/01/20,654405,221938,422931,9536
06/30/20,647849,225879,412650,9320
06/29/20,641156,228560,403430,9166
06/28/20,634437,226277,399087,9073
06/27/20,627646,225325,393352,8969
06/26/20,620794,227861,384152,8781
06/25/20,613994,230225,375164,8605
06/24/20,606881,229546,368822,8513
06/23/20,599705,234917,356429,8359
06/22/20,592280,239658,344416,8206
06/21/20,584680,236858,339711,8111
06/20/20,576952,234358,334592,8002
06/19/20,569063,236816,324406,7841
06/18/20,561091,239468,313963,7660
06/17/20,553301,241481,304342,7478
06/16/20,545458,243868,294306,7284
06/15/20,537210,245580,284539,7091
06/14/20,528964,241966,280050,6948
06/13/20,520129,238659,274641,6829
06/12/20,511423,235338,269370,6715
06/11/20,502436,234754,261150,6532
06/10/20,493657,234516,252783,6358
06/09/20,485253,236714,242397,6142
06/08/20,476658,239999,230688,5971
06/07/20,467673,235083,226731,5859
06/06/20,458689,231576,221388,5725
06/05/20,449834,231626,212680,5528
06/04/20,441108,231101,204623,5384
06/03/20,432277,231105,195957,5215
06/02/20,423741,231719,186985,5037
06/01/20,414878,234146,175877,4855
05/31/20,405843,229267,171883,4693
05/30/20,396575,224551,167469,4555
05/29/20,387623,223992,159257,4374
05/28/20,379051,223916,150993,4142
05/27/20,370680,224504,142208,3968
05/26/20,362342,227406,131129,3807
05/25/20,353427,230996,118798,3633
05/24/20,344481,227641,113299,3541
05/23/20,335882,224558,107936,3388
05/22/20,326448,223374,99825,3249
05/21/20,317554,221774,92681,3099
05/20/20,308705,220341,85392,2972
05/19/20,299941,220974,76130,2837
05/18/20,290678,217747,70209,2722
05/17/20,281752,211748,67373,2631
05/16/20,272043,206340,63166,2537
05/15/20,262843,202199,58226,2418
05/14/20,252245,196410,53530,2305
05/13/20,242271,192056,48003,2212
05/12/20,232243,186615,43512,2116
05/11/20,221344,179534,39801,2009
