Year,GDP,Real GDP**
2019,21433.2,19091.7
2018,20611.9,18687.8
2017,19543.0,18144.1
2016,18745.1,17730.5
2015,18238.3,17432.2
2014,17527.3,16912.0
2013,16784.9,16495.4
2012,16197.0,16197.0
2011,15542.6,15840.7
2010,14992.1,15598.8
2009,14448.9,15208.8
2008,14712.8,15604.7
2007,14451.9,15626.0
2006,13814.6,15338.3
2005,13036.6,14912.5
2004,12213.7,14406.4
2003,11458.2,13879.1
2002,10936.4,13493.1
2001,10581.8,13262.1
2000,10252.3,13131.0
1999,9603.7,12610.5
1998,9062.8,12038.3
1997,8577.6,11521.9
1996,8073.1,11031.4
1995,7639.7,10630.3
1994,7287.2,10352.4
1993,6858.6,9951.5
1992,6520.3,9684.9
1991,6158.1,9355.4
1990,5963.1,9365.5
1989,5641.6,9192.1
1988,5236.4,8866.5
1987,4855.2,8511.0
1986,4579.6,8226.4
1985,4339.0,7951.1
1984,4037.6,7632.8
1983,3634.0,7117.7
1982,3343.8,6805.8
1981,3207.0,6930.7
1980,2857.3,6759.2
1979,2627.3,6776.6
1978,2351.6,6568.6
1977,2081.8,6224.1
1976,1873.4,5949.0
1975,1684.9,5644.8
1974,1545.2,5656.5
1973,1425.4,5687.2
1972,1279.1,5383.3
1971,1164.9,5114.3
1970,1073.3,4951.3
1969,1017.6,4942.1
1968,940.7,4792.3
1967,860.0,4567.8
1966,813.4,4445.9
1965,742.3,4170.8
1964,684.5,3916.3
1963,637.5,3702.9
1962,603.9,3548.4
1961,562.2,3343.5
1960,542.4,3260.0
1959,521.7,3178.2
1958,481.2,2972.0
1957,474.0,2994.1
1956,449.4,2932.4
1955,425.5,2871.2
1954,390.5,2680.0
1953,389.2,2695.6
1952,367.3,2574.9
1951,346.9,2473.8
1950,299.8,2289.5
1949,272.5,2106.6
1948,274.5,2118.5
1947,249.6,2034.8
1946,227.5,2058.4
1945,228.0,2328.6
1944,224.4,2351.6
1943,203.1,2178.4
1942,166.0,1861.5
1941,129.3,1565.8
1940,102.9,1330.2
1939,93.4,1222.4
1938,87.4,1131.6
1937,93.0,1170.3
1936,84.8,1113.3
1935,74.2,986.2
1934,66.8,905.6
1933,57.2,817.3
1932,59.5,827.5
1931,77.4,950.0
1930,92.2,1015.1
1929,104.6,1109.4
