Quarter,Males,Females
Q2 2020,214.6,187.4
Q1 2020,197.1,172.5
Q4 2019,180.3,167.8
Q3 2019,201.0,194.0
Q2 2019,192.8,185.0
Q1 2019,196.9,188.6
Q4 2018,204.2,178.6
Q3 2018,219.9,171.1
Q2 2018,212.6,170.4
Q1 2018,217.6,164.8
Q4 2017,219.2,198.8
Q3 2017,237.4,191.5
Q2 2017,242.0,200.7
Q1 2017,249.2,208.1
Q4 2016,257.9,218.5
Q3 2016,263.3,237.8
Q2 2016,285.4,259.7
Q1 2016,270.0,256.5
Q4 2015,280.0,252.5
Q3 2015,304.8,276.0
Q2 2015,315.0,274.9
Q1 2015,336.3,275.0
Q4 2014,341.4,304.2
Q3 2014,370.3,313.7
Q2 2014,360.2,309.3
Q1 2014,381.0,331.0
