Year,Nominal,Real Terms
2019/20,275.3,275.3
2018/19,274.8,280.1
2017/18,268.7,279.8
2016/17,265.4,281.1
2015/16,264.9,287.2
2014/15,261.1,285.5
2013/14,254.2,281.8
2012/13,253.4,286.3
2011/12,244.8,282.4
2010/11,230.4,296.8
2009/10,223.0,265.6
2008/09,203.4,246.3
2007/08,188.6,234.2
2006/07,177.0,225.6
2005/06,171.0,224.2
2004/05,164.1,220.4
2003/04,155.6,214.9
2002/03,145.3,204.7
2001/02,137.4,198.0
2000/01,128.5,187.5
1999/00,123.0,183.0
1998/99,115.2,172.1
1997/98,114.5,173.7
1996/97,112.8,171.8
