Response,Yes,No,I don't use this platform
World,51%,42%,7%
Turkey,76%,19%,5%
Egypt,67%,27%,6%
Russia,67%,25%,8%
Mexico,66%,29%,5%
Tunisia,65%,31%,4%
United States,60%,33%,7%
Italy,60%,35%,5%
Indonesia,57%,38%,4%
Brazil,57%,35%,7%
Poland,53%,37%,11%
India,53%,43%,5%
South Africa,49%,45%,6%
Nigeria,49%,49%,1%
France,49%,42%,8%
Kenya,47%,52%,1%
Sweden,46%,46%,8%
Canada,45%,43%,12%
Hong Kong,44%,50%,5%
Australia,44%,49%,8%
Republic of Korea,40%,51%,9%
China,40%,53%,6%
Pakistan,38%,59%,3%
Great Britain,37%,56%,7%
Japan,35%,50%,16%
Germany,34%,59%,7%
